a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,12:00,OFF,jump ball,,Robert Swift,,,Samuel Dalembert,,,,,,,Elton Brand,,,,,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,11:39,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,3pt,44,22
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,11:37,OKC,rebound,,,,,,,,,,Earl Watson,,,,,,def,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,11:34,OKC,shot,Earl Watson,,,,,,,,,Jeff Green,2,,,made,,layup,25,6
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,11:14,PHI,shot,,,,,,,,,,Andre Miller,2,,,made,,driving layup,25,6
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,10:52,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,15,19
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,10:49,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,off,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,10:41,OKC,shot,Earl Watson,,,,,,,,,Jeff Green,2,,,made,,layup,25,6
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,10:27,PHI,shot,Andre Miller,,,,,,,,,Thaddeus Young,2,,,made,,running hook,22,8
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,10:10,OKC,shot,Nick Collison,,,,,,,,,Earl Watson,2,,,made,,jump,43,4
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:53,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,layup,25,6
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:52,OKC,rebound,,,,,,,,,,Robert Swift,,,,,,def,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:45,OKC,turnover,,,,,,,,,,Earl Watson,,,bad pass,,,,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:31,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,jump,13,21
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:29,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:19,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,15,24
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,9:16,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,8:57,PHI,shot,,,,,,,,,,Andre Miller,2,,,made,,running jump,12,13
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,8:43,OKC,shot,,,,,,,,,,Nick Collison,,,,missed,,jump,23,22
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,8:41,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,def,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,8:25,PHI,shot,,,,,,,,,,Andre Miller,,,,missed,,layup,25,6
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,8:24,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,8:11,OKC,turnover,,,,,,,,,,Kevin Durant,,,palming turnover,,,,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:59,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,37,10
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:58,PHI,rebound,,,,,,,,,,Andre Miller,,,,,,off,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:58,OKC,foul,,,,,,,,Andre Miller,,Robert Swift,,,,,,shooting,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:58,PHI,free throw,,,,,,,1,,2,Andre Miller,,,foul,made,,,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:58,PHI,free throw,,,,,,,2,,2,Andre Miller,,,foul,made,,,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:46,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,25,29
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:27,OKC,foul,,,,,,,,Elton Brand,,Robert Swift,,,,,,shooting,,
Earl Watson,Jeff Green,Kevin Durant,Nick Collison,Robert Swift,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:27,PHI,free throw,,,,,,,1,,2,Elton Brand,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:27,OKC,sub,,,,Johan Petro,,Robert Swift,,,,,,,,,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:27,PHI,free throw,,,,,,,2,,2,Elton Brand,,,foul,made,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:05,OKC,shot,,,,,,,,,,Nick Collison,,,,missed,,jump,42,5
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,7:03,OKC,rebound,,,,,,,,,,Johan Petro,,,,,,off,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:56,OKC,shot,,,,,,,,,,Johan Petro,2,,,made,,jump,37,16
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:36,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,29,10
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:34,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:27,PHI,shot,Andre Iguodala,,,,,,,,,Samuel Dalembert,2,,,made,,jump,37,4
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:11,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,18,15
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:09,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:03,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,layup,25,6
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,6:02,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,5:56,OKC,turnover,,,,,,,,,,Jeff Green,,,out of bounds lost ball turnover,,,,,
Earl Watson,Jeff Green,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,5:56,PHI,timeout,,,,,,,,,,,,,,,,regular,,
Desmond Mason,Earl Watson,Johan Petro,Kevin Durant,Nick Collison,Andre Iguodala,Andre Miller,Elton Brand,Samuel Dalembert,Thaddeus Young,1,5:56,OKC,sub,,,,Desmond Mason,,Jeff Green,,,,,,,,,,,,
