a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,12:00,OFF,jump ball,,Udonis Haslem,,,Chris Bosh,,,,,,,Jermaine O'Neal,,,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,11:47,TOR,turnover,,,,,,,,,,Jermaine O'Neal,,,traveling,,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,11:33,MIA,turnover,,,,,,,,,,Udonis Haslem,,,bad pass,,Will Solomon,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,11:27,MIA,foul,,,,,,,,Chris Bosh,,Udonis Haslem,,,,,,shooting,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,11:27,TOR,free throw,,,,,,,1,,2,Chris Bosh,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,11:27,TOR,free throw,,,,,,,2,,2,Chris Bosh,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,11:12,MIA,shot,,,,,,,,,,Mario Chalmers,2,,,made,,running jump,21,14
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:58,TOR,shot,Chris Bosh,,,,,,,,,Andrea Bargnani,2,,,made,,turnaround fade away,23,13
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:45,TOR,foul,,,,,,,,Dwyane Wade,,Anthony Parker,,,,,,personal,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:32,MIA,shot,Michael Beasley,,,,,,,,,Udonis Haslem,2,,,made,,jump,9,12
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:20,MIA,foul,,,,,,,,Chris Bosh,,Mario Chalmers,,,,,,shooting,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:20,TOR,free throw,,,,,,,1,,2,Chris Bosh,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:20,TOR,free throw,,,,,,,2,,2,Chris Bosh,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:04,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,running jump,31,9
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,10:03,TOR,rebound,,,,,,,,,,Andrea Bargnani,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:55,TOR,shot,Will Solomon,,,,,,,,,Andrea Bargnani,2,,,made,,driving layup,25,6
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:38,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,pullup jump,34,25
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:37,TOR,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:31,TOR,turnover,,,,,,,,,,Will Solomon,,,lost ball,,Mario Chalmers,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:23,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,pullup jump,16,20
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:22,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,off,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:16,MIA,shot,Michael Beasley,,,,,,,,,Mario Chalmers,3,,,made,,3pt,13,28
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:00,TOR,shot,,,Shawn Marion,,,,,,,Chris Bosh,,,,missed,,turnaround jump,16,7
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,9:00,TOR,rebound,,,,,,,,,,,,,,,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,8:58,TOR,shot,,,Udonis Haslem,,,,,,,Jermaine O'Neal,,,,missed,,dunk,25,6
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,8:56,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Andrea Bargnani,Anthony Parker,Chris Bosh,Jermaine O'Neal,Will Solomon,1,8:46,TOR,foul,,,,,,,,,,Jermaine O'Neal,,,,,,defense 3 second,,
