a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,12:00,OFF,jump ball,,Andrew Bogut,,,Nene Hilario,,,,,,,Carmelo Anthony,,,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,11:43,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,jump,44,17
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,11:42,MIL,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,11:30,MIL,shot,Andrew Bogut,,,,,,,,,Richard Jefferson,2,,,made,,layup,25,6
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,11:10,DEN,foul,,,,,,,,Andrew Bogut,,Nene Hilario,,,,,,offensive,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,11:10,DEN,turnover,,,,,,,,,,Nene Hilario,,,foul,,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:55,MIL,shot,Andrew Bogut,,,,,,,,,Luc Mbah a Moute,2,,,made,,reverse layup,25,6
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:33,DEN,shot,Kenyon Martin,,,,,,,,,Nene Hilario,2,,,made,,layup,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:28,MIL,turnover,,,,,,,,,,Luke Ridnour,,,bad pass,,Chauncey Billups,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:25,DEN,shot,Chauncey Billups,,,,,,,,,Kenyon Martin,2,,,made,,dunk,25,6
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:10,MIL,turnover,,,,,,,,,,Luke Ridnour,,,bad pass,,Dahntay Jones,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:08,MIL,foul,,,,,,,,Dahntay Jones,,Richard Jefferson,,,,,,shooting,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:08,DEN,free throw,,,,,,,1,,2,Dahntay Jones,,,foul,missed,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:08,DEN,rebound,,,,,,,,,,,,,,,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:08,DEN,free throw,,,,,,,2,,2,Dahntay Jones,,,foul,missed,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,10:05,MIL,rebound,,,,,,,,,,Luc Mbah a Moute,,,,,,def,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,9:53,MIL,shot,Charlie Bell,,,,,,,,,Luke Ridnour,2,,,made,,jump,16,21
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,9:42,DEN,shot,,,,,,,,,,Chauncey Billups,2,,,made,,jump,25,18
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,9:20,MIL,shot,,,,,,,,,,Richard Jefferson,2,,,made,,jump,42,9
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,9:00,DEN,shot,,,,,,,,,,Nene Hilario,2,,,made,,jump hook,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:42,MIL,shot,Charlie Bell,,,,,,,,,Luc Mbah a Moute,2,,,made,,layup,25,6
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:30,MIL,foul,,,,,,,,Kenyon Martin,,Luc Mbah a Moute,,,,,,shooting,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:30,DEN,free throw,,,,,,,1,,2,Kenyon Martin,,,foul,made,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:30,DEN,free throw,,,,,,,2,,2,Kenyon Martin,,,foul,made,,,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:13,MIL,shot,,,,,,,,,,Charlie Bell,,,,missed,,3pt,2,7
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:12,DEN,rebound,,,,,,,,,,Carmelo Anthony,,,,,,def,,
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,8:06,DEN,shot,Carmelo Anthony,,,,,,,,,Kenyon Martin,2,,,made,,layup,25,6
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:39,MIL,shot,,,,,,,,,,Charlie Bell,2,,,made,,jump,26,29
Andrew Bogut,Charlie Bell,Luc Mbah a Moute,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:28,MIL,foul,,,,,,,,Carmelo Anthony,,Richard Jefferson,,,,,,personal,,
Andrew Bogut,Charlie Bell,Joe Alexander,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:28,MIL,sub,,,,Joe Alexander,,Luc Mbah a Moute,,,,,,,,,,,,
Andrew Bogut,Charlie Bell,Joe Alexander,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:20,DEN,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,driving reverse layup,25,6
Andrew Bogut,Charlie Bell,Joe Alexander,Luke Ridnour,Richard Jefferson,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:20,MIL,foul,,,,,,,,Carmelo Anthony,,Richard Jefferson,,,,,,shooting,,
Andrew Bogut,Charlie Bell,Joe Alexander,Luc Mbah a Moute,Luke Ridnour,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:20,MIL,sub,,,,Luc Mbah a Moute,,Richard Jefferson,,,,,,,,,,,,
Andrew Bogut,Charlie Bell,Joe Alexander,Luc Mbah a Moute,Luke Ridnour,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:20,DEN,free throw,,,,,,,1,,1,Carmelo Anthony,,,foul,made,,,,
Andrew Bogut,Charlie Bell,Joe Alexander,Luc Mbah a Moute,Luke Ridnour,Carmelo Anthony,Chauncey Billups,Dahntay Jones,Kenyon Martin,Nene Hilario,1,7:02,MIL,shot,,,,,,,,,,Charlie Bell,,,,missed,,driving layup,25,6
