a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,12:00,OFF,jump ball,,Al Horford,,,Zydrunas Ilgauskas,,,,,,,Mike Bibby,,,,,,
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:43,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,3pt,10,27
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:42,ATL,rebound,,,,,,,,,,Al Horford,,,,,,off,,
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:36,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,3pt,24,33
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:35,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:29,CLE,shot,LeBron James,,,,,,,,,Delonte West,3,,,made,,3pt,9,25
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:10,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,43,11
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:09,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:00,CLE,shot,,,,,,,,,,Delonte West,,,,missed,,3pt,49,5
Al Horford,Joe Johnson,Marvin Williams,Mike Bibby,Zaza Pachulia,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:59,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,off,,
