a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,12:00,OFF,jump ball,,Andrew Bogut,,,Dwight Howard,,,,,,,Ramon Sessions,,,,,,
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:46,MIL,shot,,,,,,,,,,Andrew Bogut,2,,,made,,hook,13,8
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:30,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,driving layup,25,6
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,11:08,MIL,shot,Ramon Sessions,,,,,,,,,Andrew Bogut,2,,,made,,hook,22,10
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:59,ORL,shot,Jameer Nelson,,,,,,,,,Mickael Pietrus,2,,,made,,dunk,25,6
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:58,ORL,violation,,,,,,,,,,,,,,,,delay of game,,
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:43,MIL,shot,,,,,,,,,,Ramon Sessions,,,,missed,,jump,38,19
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:42,ORL,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:24,ORL,turnover,,,,,,,,,,Dwight Howard,,,bad pass,,,,,
Andrew Bogut,Charlie Bell,Luc Richard Mbah a Moute,Ramon Sessions,Richard Jefferson,Dwight Howard,Hedo Turkoglu,Jameer Nelson,Mickael Pietrus,Rashard Lewis,1,10:22,MIL,turnover,,,,,,,,,,Richard Jefferson,,,bad pass,,Rashard Lewis,,,
