a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Wilson Chandler,,,,,,,Ben Wallace,,,,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:38,CLE,shot,,,,,,,,,,Delonte West,,,,missed,,3pt,47,20
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:36,NYK,rebound,,,,,,,,,,Nate Robinson,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:21,NYK,shot,,,,,,,,,,David Lee,,,,missed,,layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:20,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:10,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,jump,41,9
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:08,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:02,NYK,shot,,,,,,,,,,Nate Robinson,,,,missed,,3pt,11,30
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,11:01,NYK,rebound,,,,,,,,,,David Lee,,,,,,off,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:51,NYK,shot,,,,,,,,,,Wilson Chandler,,,,missed,,3pt,28,32
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:50,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:36,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,turnaround jump,12,7
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:17,NYK,shot,,,Ben Wallace,,,,,,,Wilson Chandler,,,,missed,,layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:16,NYK,rebound,,,,,,,,,,,,,,,,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:10,NYK,shot,,,,,,,,,,Quentin Richardson,,,,missed,,jump,14,7
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:09,NYK,shot,,,,,,,,,,Wilson Chandler,2,,,made,,tip,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,10:09,NYK,rebound,,,,,,,,,,Wilson Chandler,,,,,,off,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:53,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,running reverse layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:46,NYK,shot,,,LeBron James,,,,,,,Chris Duhon,,,,missed,,layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:43,CLE,rebound,,,,,,,,,,Mo Williams,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:41,CLE,shot,,,,,,,,,,Mo Williams,2,,,made,,reverse layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:30,NYK,shot,,,,,,,,,,Nate Robinson,2,,,made,,running jump,20,12
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:14,CLE,shot,Zydrunas Ilgauskas,,,,,,,,,Delonte West,2,,,made,,layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,9:04,NYK,shot,Chris Duhon,,,,,,,,,Quentin Richardson,3,,,made,,3pt,44,23
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,8:39,CLE,shot,Mo Williams,,,,,,,,,LeBron James,3,,,made,,3pt,41,27
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,8:25,NYK,turnover,,,,,,,,,,Wilson Chandler,,,step out of bounds turnover,,,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,8:08,CLE,shot,Zydrunas Ilgauskas,,,,,,,,,LeBron James,3,,,made,,3pt,2,8
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:59,NYK,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,8,25
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:57,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:52,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,3pt,45,23
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:50,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:44,NYK,shot,Chris Duhon,,,,,,,,,David Lee,2,,,made,,layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:44,CLE,foul,,,,,,,,David Lee,,Mo Williams,,,,,,shooting,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:44,NYK,free throw,,,,,,,1,,1,David Lee,,,foul,made,,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:28,CLE,shot,,,Wilson Chandler,,,,,,,Zydrunas Ilgauskas,,,,missed,,layup,25,6
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:28,CLE,rebound,,,,,,,,,,,,,,,,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:18,CLE,shot,LeBron James,,,,,,,,,Delonte West,3,,,made,,3pt,3,7
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:05,NYK,foul,,,,,,,,Ben Wallace,,Wilson Chandler,,,,,,offensive,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,7:05,NYK,turnover,,,,,,,,,,Wilson Chandler,,,foul,,,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,6:51,CLE,turnover,,,,,,,,,,Ben Wallace,,,bad pass,,Wilson Chandler,,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,6:38,NYK,shot,Nate Robinson,,,,,,,,,Chris Duhon,3,,,made,,3pt,9,28
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,6:17,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,3pt,20,31
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,6:15,NYK,rebound,,,,,,,,,,Wilson Chandler,,,,,,def,,
Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,Chris Duhon,David Lee,Nate Robinson,Quentin Richardson,Wilson Chandler,1,6:10,NYK,shot,,,,,,,,,,Chris Duhon,3,,,made,,3pt,39,27
