a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,12:00,OFF,jump ball,,Rasho Nesterovic,,,Erick Dampier,,,,,,,Jason Kidd,,,,,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,11:37,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,step back jump,23,18
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,11:23,IND,shot,,,,,,,,,,T.J. Ford,2,,,made,,jump,12,21
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,11:15,DAL,turnover,,,,,,,,,,Erick Dampier,,,bad pass,,,,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,11:01,IND,shot,,,Dirk Nowitzki,,,,,,,Troy Murphy,,,,missed,,running jump,35,11
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:59,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:53,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,12,24
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:43,IND,shot,,,,,,,,,,Rasho Nesterovic,2,,,made,,jump,11,15
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:27,DAL,shot,,,,,,,,,,Antoine Wright,2,,,made,,driving layup,25,6
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:02,IND,shot,,,,,,,,,,T.J. Ford,,,,missed,,jump,8,7
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:01,IND,rebound,,,,,,,,,,Marquis Daniels,,,,,,off,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:00,IND,shot,,,,,,,,,,Marquis Daniels,,,,missed,,layup,25,6
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:00,IND,shot,,,,,,,,,,Marquis Daniels,2,,,made,,layup,25,6
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:00,IND,rebound,,,,,,,,,,Marquis Daniels,,,,,,off,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,10:00,DAL,violation,,,,,,,,,,Erick Dampier,,,,,,defensive goaltending,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,9:41,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,step back jump,16,13
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,9:26,DAL,foul,,,,,,,,Danny Granger,,James Singleton,,,,,,personal,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,James Singleton,Jason Kidd,1,9:23,DAL,foul,,,,,,,,Danny Granger,,James Singleton,,,,,,personal,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,9:23,DAL,sub,,,,Shawne Williams,,James Singleton,,,,,,,,,,,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,9:17,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,3pt,10,27
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,9:16,IND,rebound,,,,,,,,,,Rasho Nesterovic,,,,,,off,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,9:02,IND,shot,,,,,,,,,,Danny Granger,,,,missed,,layup,25,6
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,9:01,IND,rebound,,,,,,,,,,Rasho Nesterovic,,,,,,off,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:58,IND,shot,,,,,,,,,,Danny Granger,2,,,made,,jump,14,11
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:36,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,35,10
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:35,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:32,DAL,shot,,,,,,,,,,Erick Dampier,2,,,made,,reverse layup,25,6
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:18,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,43,7
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:17,IND,rebound,,,,,,,,,,Rasho Nesterovic,,,,,,off,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:16,IND,shot,Rasho Nesterovic,,,,,,,,,Troy Murphy,2,,,made,,layup,25,6
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:16,DAL,foul,,,,,,,,Troy Murphy,,Erick Dampier,,,,,,shooting,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:16,IND,free throw,,,,,,,1,,1,Troy Murphy,,,foul,made,,,,
Danny Granger,Marquis Daniels,Rasho Nesterovic,T.J. Ford,Troy Murphy,Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Shawne Williams,1,8:00,DAL,shot,,,,,,,,,,Antoine Wright,2,,,made,,driving layup,25,6
