a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,12:00,OFF,jump ball,,Robin Lopez,,,Jeff Green,,,,,,,Nick Collison,,,,,,
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:39,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,11,6
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:36,PHX,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:24,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,layup,25,6
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:23,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:16,OKC,turnover,,,,,,,,,,Damien Wilkins,,,out of bounds lost ball turnover,,,,,
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:05,PHX,shot,Amare Stoudemire,,,,,,,,,Matt Barnes,3,,,made,,3pt,5,19
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:50,OKC,shot,Earl Watson,,,,,,,,,Jeff Green,2,,,made,,hook,25,10
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:31,PHX,shot,Steve Nash,,,,,,,,,Matt Barnes,3,,,made,,3pt,47,17
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:17,OKC,shot,,,,,,,,,,Damien Wilkins,,,,missed,,jump,29,22
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:16,PHX,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:13,PHX,turnover,,,,,,,,,,Matt Barnes,,,lost ball,,Earl Watson,,,
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:04,OKC,shot,Damien Wilkins,,,,,,,,,Kevin Durant,2,,,made,,jump,41,12
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:48,PHX,shot,,,,,,,,,,Raja Bell,,,,missed,,3pt,4,20
Amare Stoudemire,Matt Barnes,Raja Bell,Robin Lopez,Steve Nash,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:47,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
