a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,12:00,OFF,jump ball,,Andris Biedrins,,,Zydrunas Ilgauskas,,,,,,,Mo Williams,,,,,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:46,CLE,shot,,,,,,,,,,Ben Wallace,,,,missed,,dunk,25,7
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:44,GSW,rebound,,,,,,,,,,Jamal Crawford,,,,,,def,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:40,GSW,shot,,,,,,,,,,Stephen Jackson,2,,,made,,jump,10,10
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:23,CLE,shot,LeBron James,,,,,,,,,Mo Williams,2,,,made,,jump,37,15
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:12,GSW,turnover,,,,,,,,,,Andris Biedrins,,,out of bounds lost ball turnover,,,,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:02,CLE,turnover,,,,,,,,,,Zydrunas Ilgauskas,,,lost ball,,Brandan Wright,,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:55,GSW,shot,,,,,,,,,,Jamal Crawford,2,,,made,,layup,25,7
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:48,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,layup,26,6
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:47,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:42,GSW,shot,Jamal Crawford,,,,,,,,,Brandan Wright,2,,,made,,dunk,25,7
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:25,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump,31,7
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:24,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:17,GSW,shot,,,,,,,,,,Jamal Crawford,2,,,made,,jump,41,13
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,10:00,CLE,shot,,,,,,,,,,Delonte West,,,,missed,,3pt,9,26
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,9:59,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,9:50,GSW,shot,Stephen Jackson,,,,,,,,,Andris Biedrins,2,,,made,,layup,26,6
Andris Biedrins,Brandan Wright,Corey Maggette,Jamal Crawford,Stephen Jackson,Ben Wallace,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,9:33,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,jump,9,14
