a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,12:00,OFF,jump ball,,Jason Collins,,,Jeff Green,,,,,,,Nick Collison,,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:45,OKC,shot,,,Jason Collins,,,,,,,Kevin Durant,,,,missed,,running jump,19,8
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:44,MIN,rebound,,,,,,,,,,Jason Collins,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:30,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,layup,25,6
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:27,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:17,OKC,shot,Kevin Durant,,,,,,,,,Nick Collison,2,,,made,,jump,17,22
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,11:01,MIN,shot,Randy Foye,,,,,,,,,Mike Miller,3,,,made,,3pt,8,24
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:45,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,25,22
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:42,OKC,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:36,OKC,turnover,,,,,,,,,,Jeff Green,,,traveling,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:22,MIN,shot,,,,,,,,,,Jason Collins,,,,missed,,jump,42,10
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:21,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:10,OKC,shot,,,,,,,,,,Nick Collison,,,,missed,,jump,24,11
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:08,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:01,MIN,timeout,,,,,,,,,,,,,,,,short,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,10:00,OKC,foul,,,,,,,,Randy Foye,,Earl Watson,,,,,,personal,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:48,MIN,foul,,,,,,,,Damien Wilkins,,Jason Collins,,,,,,offensive,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:48,MIN,turnover,,,,,,,,,,Jason Collins,,,foul,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:26,OKC,shot,,,,,,,,,,Earl Watson,,,,missed,,3pt,20,30
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:24,MIN,rebound,,,,,,,,,,Jason Collins,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:08,MIN,shot,,,,,,,,,,Mike Miller,,,,missed,,3pt,12,28
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,9:05,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,off,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,8:56,MIN,shot,Mike Miller,,,,,,,,,Ryan Gomes,2,,,made,,jump,12,8
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,8:43,OKC,shot,,,,,,,,,,Damien Wilkins,,,,missed,,jump,30,11
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,8:43,MIN,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,8:43,OKC,foul,,,,,,,,Jason Collins,,Nick Collison,,,,,,personal,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,8:27,MIN,turnover,,,,,,,,,,Mike Miller,,,lost ball,,Earl Watson,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,8:23,OKC,shot,Earl Watson,,,,,,,,,Jeff Green,2,,,made,,slam dunk,25,6
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:58,MIN,turnover,,,,,,,,,,Jason Collins,,,traveling,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:53,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,3pt,14,29
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:51,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,off,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:49,OKC,shot,,,,,,,,,,Nick Collison,2,,,made,,putback layup,25,6
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:30,MIN,shot,,,,,,,,,,Al Jefferson,2,,,made,,jump hook,31,12
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:23,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,jump,11,6
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:22,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,7:09,MIN,turnover,,,,,,,,,,Randy Foye,,,bad pass,,Jeff Green,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:54,OKC,turnover,,,,,,,,,,Nick Collison,,,bad pass,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:35,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump hook,34,10
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:34,OKC,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:26,OKC,shot,,,,,,,,,,Nick Collison,,,,missed,,jump,29,25
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:25,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:14,MIN,shot,,,Kevin Durant,,,,,,,Jason Collins,,,,missed,,layup,25,6
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:12,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:09,OKC,foul,,,,,,,,Randy Foye,,Earl Watson,,,,,,offensive,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,1,6:09,OKC,turnover,,,,,,,,,,Earl Watson,,,foul,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,1,6:09,OKC,sub,,,,Russell Westbrook,,Earl Watson,,,,,,,,,,,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,1,5:54,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,layup,25,6
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,1,5:53,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,1,5:46,OKC,shot,,,,,,,,,,Damien Wilkins,,,,missed,,3pt,48,7
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,1,5:44,MIN,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Al Jefferson,Jason Collins,Mike Miller,Randy Foye,Ryan Gomes,Damien Wilkins,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,1,5:36,MIN,shot,,,,,,,,,,Mike Miller,2,,,made,,running jump,19,8
