a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,12:00,OFF,jump ball,,Al Jefferson,,,Brook Lopez,,,,,,,Devin Harris,,,,,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,11:35,NJN,shot,Brook Lopez,,,,,,,,,Yi Jianlian,2,,,made,,hook,28,9
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,11:23,NJN,foul,,,,,,,,Ryan Gomes,,Bobby Simmons,,,,,,personal,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,11:14,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,11,15
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,11:13,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,10:50,NJN,shot,,,,,,,,,,Vince Carter,3,,,made,,3pt,12,34
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,10:28,MIN,turnover,,,,,,,,,,Randy Foye,,,lost ball,,Bobby Simmons,,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,10:26,NJN,turnover,,,,,,,,,,Devin Harris,,,out of bounds lost ball turnover,,,,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,10:11,MIN,shot,,,,,,,,,,Al Jefferson,2,,,made,,jump,11,16
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,10:03,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,driving reverse layup,25,6
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,10:02,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,9:55,MIN,foul,,,,,,,,Devin Harris,,Kevin Ollie,,,,,,offensive,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,9:55,MIN,turnover,,,,,,,,,,Kevin Ollie,,,foul,,,,,
Al Jefferson,Kevin Love,Kevin Ollie,Randy Foye,Ryan Gomes,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,9:47,MIN,foul,,,,,,,,Devin Harris,,Kevin Ollie,,,,,,personal,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,9:47,MIN,sub,,,,Sebastian Telfair,,Kevin Ollie,,,,,,,,,,,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,9:40,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,jump,15,18
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,9:16,MIN,shot,,,,,,,,,,Al Jefferson,2,,,made,,jump,39,12
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:59,NJN,shot,,,,,,,,,,Brook Lopez,,,,missed,,jump,25,20
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:58,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:46,MIN,shot,,,,,,,,,,Randy Foye,2,,,made,,jump,38,18
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:32,NJN,shot,,,,,,,,,,Devin Harris,,,,missed,,driving layup,25,6
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:31,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:27,NJN,foul,,,,,,,,Randy Foye,,Yi Jianlian,,,,,,shooting,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:27,MIN,free throw,,,,,,,1,,2,Randy Foye,,,foul,made,,,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:27,MIN,free throw,,,,,,,2,,2,Randy Foye,,,foul,made,,,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:10,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,turnaround fade away,12,8
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:09,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,off,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,8:08,NJN,shot,,,,,,,,,,Brook Lopez,2,,,made,,putback slam dunk,25,6
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,7:38,MIN,shot,,,,,,,,,,Al Jefferson,2,,,made,,turnaround jump,25,11
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,7:28,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,jump,12,16
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,7:06,MIN,shot,,,,,,,,,,Randy Foye,,,,missed,,jump,14,24
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,7:05,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,off,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,7:03,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,29,12
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,7:02,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,6:53,NJN,shot,,,,,,,,,,Devin Harris,3,,,made,,3pt,36,28
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,6:31,NJN,foul,,,,,,,,Al Jefferson,,Brook Lopez,,,,,,shooting,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,6:31,MIN,free throw,,,,,,,1,,2,Al Jefferson,,,foul,missed,,,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,6:31,MIN,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,6:31,MIN,free throw,,,,,,,2,,2,Al Jefferson,,,foul,made,,,,
Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,1,6:20,MIN,foul,,,,,,,,Devin Harris,,Ryan Gomes,,,,,,personal,,
