a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,12:00,OFF,jump ball,,Brook Lopez,,,Drew Gooden,,,,,,,Devin Harris,,,,,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:44,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,driving dunk,25,6
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:28,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,33,28
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:26,NJN,rebound,,,,,,,,,,Vince Carter,,,,,,def,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:21,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,13,22
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:20,NJN,rebound,,,,,,,,,,,,,,,,,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:20,CHI,foul,,,,,,,,Brook Lopez,,Aaron Gray,,,,,,personal,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:09,NJN,shot,Vince Carter,,,,,,,,,Bobby Simmons,3,,,made,,3pt,2,8
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,11:01,CHI,turnover,,,,,,,,,,Ben Gordon,,,bad pass,,Vince Carter,,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,10:53,CHI,foul,,,,,,,,Brook Lopez,,Drew Gooden,,,,,,shooting,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,10:53,NJN,free throw,,,,,,,1,,2,Brook Lopez,,,foul,missed,,,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,10:53,NJN,rebound,,,,,,,,,,,,,,,,,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,10:53,NJN,free throw,,,,,,,2,,2,Brook Lopez,,,foul,made,,,,
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,10:32,CHI,shot,Luol Deng,,,,,,,,,Drew Gooden,2,,,made,,fade away jumper,39,11
Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,Aaron Gray,Ben Gordon,Derrick Rose,Drew Gooden,Luol Deng,1,10:11,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,layup,25,6
