a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,12:00,OFF,jump ball,,Marcus Camby,,,Jeff Green,,,,,,,Russell Westbrook,,,,,,
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:39,OKC,shot,,,,,,,,,,Damien Wilkins,,,,missed,,3pt,2,8
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:38,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:16,LAC,shot,,,Damien Wilkins,,,,,,,Al Thornton,,,,missed,,jump,29,14
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:14,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:09,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,40,8
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:08,OKC,rebound,,,,,,,,,,Damien Wilkins,,,,,,off,,
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:06,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,jump,24,9
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,11:04,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Al Thornton,Baron Davis,Eric Gordon,Marcus Camby,Zach Randolph,Damien Wilkins,Jeff Green,Johan Petro,Kevin Durant,Russell Westbrook,1,10:54,LAC,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,10,10
