a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Brian Skinner,,,,,,,Los Angeles,,,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,11:46,LAC,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,7,11
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,11:45,TOR,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,11:30,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,layup,25,6
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,11:29,LAC,rebound,,,,,,,,,,Brian Skinner,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,11:18,LAC,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,24,26
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,11:17,TOR,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:56,TOR,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,jump,27,15
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:31,LAC,shot,,,,,,,,,,Zach Randolph,,,,missed,,3pt,4,21
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:30,TOR,rebound,,,,,,,,,,Jose Calderon,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:22,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,jump,44,7
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:21,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,off,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:18,TOR,shot,,,,,,,,,,Jason Kapono,,,,missed,,layup,25,6
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:16,TOR,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,off,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:15,LAC,foul,,,,,,,,Chris Bosh,,Al Thornton,,,,,,personal,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:15,TOR,free throw,,,,,,,1,,2,Chris Bosh,,,foul,made,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:15,TOR,free throw,,,,,,,2,,2,Chris Bosh,,,foul,made,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,10:00,LAC,shot,Baron Davis,,,,,,,,,Al Thornton,2,,,made,,driving layup,25,6
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:46,LAC,foul,,,,,,,,Chris Bosh,,Brian Skinner,,,,,,shooting,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:46,TOR,free throw,,,,,,,1,,2,Chris Bosh,,,foul,made,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:46,TOR,free throw,,,,,,,2,,2,Chris Bosh,,,foul,made,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:32,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,3pt,20,31
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:30,TOR,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:18,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,layup,25,6
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:17,LAC,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,9:14,LAC,turnover,,,,,,,,,,Baron Davis,,,palming turnover,,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:59,TOR,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,36,24
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:58,LAC,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:38,LAC,shot,Baron Davis,,,,,,,,,Eric Gordon,2,,,made,,jump,42,7
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:29,TOR,shot,,,,,,,,,,Jose Calderon,2,,,made,,driving layup,25,6
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:29,LAC,foul,,,,,,,,Jose Calderon,,Zach Randolph,,,,,,shooting,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:29,TOR,free throw,,,,,,,1,,1,Jose Calderon,,,foul,made,,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:17,LAC,turnover,,,,,,,,,,Baron Davis,,,bad pass,,Jermaine O'Neal,,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:09,TOR,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,37,20
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,8:07,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,def,,
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,7:57,LAC,shot,Baron Davis,,,,,,,,,Zach Randolph,2,,,made,,jump,37,11
Chris Bosh,Jamario Moon,Jason Kapono,Jermaine O'Neal,Jose Calderon,Al Thornton,Baron Davis,Brian Skinner,Eric Gordon,Zach Randolph,1,7:41,TOR,shot,Jose Calderon,,,,,,,,,Jermaine O'Neal,2,,,made,,jump,21,8
