a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,12:00,OFF,jump ball,,Darko Milicic,,,Erick Dampier,,,,,,,Dirk Nowitzki,,,,,,
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,11:44,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,42,10
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,11:42,MEM,rebound,,,,,,,,,,Darko Milicic,,,,,,def,,
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,11:22,MEM,shot,,,,,,,,,,Kyle Lowry,2,,,made,,jump,10,16
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,11:02,DAL,shot,,,,,,,,,,Josh Howard,,,,missed,,running jump,18,11
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:59,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:53,MEM,shot,,,,,,,,,,Darko Milicic,,,,missed,,jump,28,8
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:52,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:46,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,pullup jump,13,19
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:44,MEM,rebound,,,,,,,,,,O.J. Mayo,,,,,,def,,
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:36,MEM,shot,,,Erick Dampier,,,,,,,O.J. Mayo,,,,missed,,layup,25,6
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:33,DAL,rebound,,,,,,,,,,Devean George,,,,,,def,,
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:20,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,35,20
Darko Milicic,Darrell Arthur,Kyle Lowry,O.J. Mayo,Rudy Gay,Devean George,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,1,10:18,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
