a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Andrew Bynum,,,,,,,Derek Fisher,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,11:41,LAL,shot,,,,,,,,,,Andrew Bynum,,,,missed,,turnaround hook,24,16
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,11:40,BOS,rebound,,,,,,,,,,Rajon Rondo,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,11:35,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,3,,,made,,3pt,47,20
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,11:13,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,3pt,2,9
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,11:12,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,11:02,BOS,turnover,,,,,,,,,,Paul Pierce,,,lost ball,,Luke Walton,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,10:56,LAL,shot,,,,,,,,,,Luke Walton,2,,,made,,driving layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,10:38,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,jump,14,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Andrew Bynum,Derek Fisher,Kobe Bryant,Luke Walton,Pau Gasol,1,10:37,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,def,,
