a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,12:00,OFF,jump ball,,Aaron Gray,,,Joel Anthony,,,,,,,Udonis Haslem,,,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,11:46,MIA,shot,,,,,,,,,,Shawn Marion,,,,missed,,finger roll layup,23,10
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,11:44,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,11:24,CHI,shot,Ben Gordon,,,,,,,,,Tyrus Thomas,2,,,made,,fade away jumper,34,17
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,11:00,MIA,shot,,,,,,,,,,Mario Chalmers,,,,missed,,3pt,40,25
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:59,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:50,CHI,shot,,,,,,,,,,Derrick Rose,,,,missed,,jump,34,16
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:49,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:31,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,35,26
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:30,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:17,CHI,shot,,,Joel Anthony,,,,,,,Derrick Rose,,,,missed,,driving layup,25,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:16,CHI,rebound,,,,,,,,,,,,,,,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:12,CHI,shot,,,Joel Anthony,,,,,,,Ben Gordon,,,,missed,,driving layup,25,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,10:11,MIA,rebound,,,,,,,,,,Mario Chalmers,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:50,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,32,20
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:49,CHI,rebound,,,,,,,,,,Aaron Gray,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:38,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,46,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:37,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:29,MIA,shot,,,,,,,,,,Mario Chalmers,2,,,made,,driving layup,25,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:14,MIA,foul,,,,,,,,Aaron Gray,,Dwyane Wade,,,,,,shooting,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:14,CHI,free throw,,,,,,,1,,2,Aaron Gray,,,foul,made,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:14,CHI,free throw,,,,,,,2,,2,Aaron Gray,,,foul,missed,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:13,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,9:01,MIA,shot,,,,,,,,,,Shawn Marion,2,,,made,,jump,17,14
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:53,CHI,shot,,,,,,,,,,Ben Gordon,2,,,made,,reverse layup,25,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:39,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:28,MIA,foul,,,,,,,,Aaron Gray,,Shawn Marion,,,,,,shooting,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:28,CHI,free throw,,,,,,,1,,2,Aaron Gray,,,foul,made,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:28,CHI,free throw,,,,,,,2,,2,Aaron Gray,,,foul,missed,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:27,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,8:11,MIA,shot,Mario Chalmers,,,,,,,,,Udonis Haslem,2,,,made,,jump,14,18
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:51,CHI,shot,,,,,,,,,,Luol Deng,2,,,made,,floating jump,25,15
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:32,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,fade away jumper,7,8
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:24,CHI,shot,,,,,,,,,,Derrick Rose,,,,missed,,jump,15,19
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:23,MIA,rebound,,,,,,,,,,Joel Anthony,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:21,MIA,turnover,,,,,,,,,,Joel Anthony,,,bad pass,,Tyrus Thomas,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:17,CHI,shot,,,,,,,,,,Derrick Rose,,,,missed,,layup,25,6
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:16,MIA,rebound,,,,,,,,,,Joel Anthony,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:05,MIA,foul,,,,,,,,Tyrus Thomas,,Dwyane Wade,,,,,,offensive,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:05,MIA,turnover,,,,,,,,,,Dwyane Wade,,,foul,,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,7:05,MIA,sub,,,,Daequan Cook,,Dwyane Wade,,,,,,,,,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:45,CHI,shot,,,,,,,,,,Tyrus Thomas,,,,missed,,jump,9,8
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:44,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:33,MIA,shot,,,,,,,,,,Joel Anthony,,,,missed,,hook,34,8
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:32,CHI,rebound,,,,,,,,,,Aaron Gray,,,,,,def,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:21,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,7,4
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:20,MIA,rebound,,,,,,,,,,,,,,,,,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,6:20,CHI,foul,,,,,,,,Daequan Cook,,Aaron Gray,,,,,,loose ball,,
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,5:57,MIA,shot,,,,,,,,,,Daequan Cook,,,,missed,,3pt,42,24
Aaron Gray,Ben Gordon,Derrick Rose,Luol Deng,Tyrus Thomas,Daequan Cook,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,1,5:56,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
