a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Emeka Okafor,,,,,,,Raymond Felton,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,11:40,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,34,24
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,11:39,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,11:26,BOS,shot,Paul Pierce,,,,,,,,,Kevin Garnett,2,,,made,,hook,24,13
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,11:08,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,3pt,41,28
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,11:07,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,11:03,BOS,turnover,,,,,,,,,,Rajon Rondo,,,bad pass,,Boris Diaw,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,10:58,CHA,shot,Boris Diaw,,,,,,,,,Raymond Felton,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,10:35,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,jump,18,22
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,10:33,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,10:17,CHA,shot,Raymond Felton,,,,,,,,,Boris Diaw,2,,,made,,jump,40,18
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,10:00,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:58,BOS,shot,,,,,,,,,,Kendrick Perkins,2,,,made,,putback layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:58,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:58,CHA,foul,,,,,,,,Kendrick Perkins,,Emeka Okafor,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:58,BOS,free throw,,,,,,,1,,1,Kendrick Perkins,,,foul,missed,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:56,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:50,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:49,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:49,CHA,foul,,,,,,,,Paul Pierce,,Gerald Wallace,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:36,BOS,shot,Kevin Garnett,,,,,,,,,Paul Pierce,2,,,made,,jump,14,20
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:22,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:19,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:14,BOS,turnover,,,,,,,,,,Rajon Rondo,,,bad pass,,Gerald Wallace,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:10,CHA,shot,,,Kevin Garnett,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,9:05,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:57,BOS,shot,Ray Allen,,,,,,,,,Rajon Rondo,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:40,CHA,shot,Matt Carroll,,,,,,,,,Emeka Okafor,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:27,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,3pt,42,25
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:25,CHA,rebound,,,,,,,,,,Boris Diaw,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:15,CHA,shot,,,,,,,,,,Gerald Wallace,2,,,made,,reverse layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:15,BOS,foul,,,,,,,,Gerald Wallace,,Paul Pierce,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:15,CHA,free throw,,,,,,,1,,1,Gerald Wallace,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:01,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,8:00,CHA,rebound,,,,,,,,,,Matt Carroll,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,7:52,CHA,shot,,,,,,,,,,Matt Carroll,,,,missed,,jump,41,19
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,7:51,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,7:33,CHA,shot,Gerald Wallace,,,,,,,,,Emeka Okafor,2,,,made,,dunk,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Boris Diaw,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,1,7:15,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,3,,,made,,3pt,2,8
