a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,12:00,OFF,jump ball,,Emeka Okafor,,,Andray Blatche,,,,,,,Mike James,,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,11:40,WAS,shot,,,,,,,,,,Antawn Jamison,2,,,made,,jump,9,15
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,11:20,CHA,shot,,,,,,,,,,Boris Diaw,2,,,made,,hook,23,10
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,10:57,WAS,shot,,,,,,,,,,Andray Blatche,,,,missed,,layup,26,5
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,10:56,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,10:41,CHA,shot,Raja Bell,,,,,,,,,Emeka Okafor,2,,,made,,hook,21,11
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,10:20,WAS,turnover,,,,,,,,,,Andray Blatche,,,traveling,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,10:09,CHA,shot,,,,,,,,,,Raymond Felton,2,,,made,,jump,8,15
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:50,WAS,shot,Mike James,,,,,,,,,Caron Butler,2,,,made,,jump,43,4
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:36,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,3pt,12,29
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:35,WAS,rebound,,,,,,,,,,Dominic McGuire,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:26,WAS,shot,Andray Blatche,,,,,,,,,Dominic McGuire,2,,,made,,layup,26,7
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:26,CHA,foul,,,,,,,,Dominic McGuire,,Gerald Wallace,,,,,,shooting,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:26,WAS,free throw,,,,,,,1,,1,Dominic McGuire,,,foul,made,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:19,CHA,turnover,,,,,,,,,,Boris Diaw,,,bad pass,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,9:01,WAS,shot,Dominic McGuire,,,,,,,,,Antawn Jamison,2,,,made,,jump,7,17
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,8:49,CHA,shot,,,,,,,,,,Raja Bell,,,,missed,,jump,7,15
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,8:47,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Andray Blatche,Antawn Jamison,Caron Butler,Dominic McGuire,Mike James,1,8:33,WAS,shot,,,,,,,,,,Andray Blatche,,,,missed,,jump,21,11
