a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,12:00,OFF,jump ball,,LeBron James,,,Marc Gasol,,,,,,,Mo Williams,,,,,,
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,11:41,CLE,shot,Delonte West,,,,,,,,,Anderson Varejao,2,,,made,,layup,25,6
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,11:22,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,3pt,10,25
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,11:21,CLE,rebound,,,,,,,,,,Lorenzen Wright,,,,,,def,,
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,10:58,CLE,shot,LeBron James,,,,,,,,,Mo Williams,3,,,made,,3pt,40,28
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,10:44,MEM,shot,,,,,,,,,,O.J. Mayo,,,,missed,,jump,12,24
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,10:43,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,10:27,CLE,turnover,,,,,,,,,,Lorenzen Wright,,,lost ball,,O.J. Mayo,,,
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,10:22,MEM,shot,,,LeBron James,,,,,,,Kyle Lowry,,,,missed,,layup,25,6
Anderson Varejao,Delonte West,LeBron James,Lorenzen Wright,Mo Williams,Darrell Arthur,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,1,10:20,CLE,rebound,,,,,,,,,,Delonte West,,,,,,def,,
