a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,12:00,OFF,jump ball,,Joel Anthony,,,Al Jefferson,,,,,,,Dwyane Wade,,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:46,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,fade away jumper,11,8
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:10,MIN,shot,,,,,,,,,,Sebastian Telfair,2,,,made,,running jump,21,15
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:48,MIA,shot,,,,,,,,,,Mario Chalmers,,,,missed,,running jump,23,16
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:48,MIA,rebound,,,,,,,,,,Mario Chalmers,,,,,,off,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:34,MIA,turnover,,,,,,,,,,Shawn Marion,,,lost ball,,Ryan Gomes,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:12,MIN,shot,,,,,,,,,,Sebastian Telfair,,,,missed,,jump,24,21
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:12,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:56,MIA,shot,,,,,,,,,,Mario Chalmers,,,,missed,,3pt,23,32
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:56,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:46,MIN,shot,,,,,,,,,,Ryan Gomes,2,,,made,,running bank,18,7
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:32,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,28,23
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:32,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:18,MIN,shot,Randy Foye,,,,,,,,,Al Jefferson,2,,,made,,jump,22,10
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:04,MIA,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump,31,11
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:03,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:52,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,turnaround jump,34,11
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:50,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:42,MIA,foul,,,,,,,,Sebastian Telfair,,Joel Anthony,,,,,,offensive,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:42,MIA,turnover,,,,,,,,,,Joel Anthony,,,foul,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:25,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,25,12
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:24,MIA,rebound,,,,,,,,,,,,,,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,8:04,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:48,MIN,shot,,,,,,,,,,Randy Foye,2,,,made,,driving bank,27,10
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:27,MIN,foul,,,,,,,,Mario Chalmers,,Al Jefferson,,,,,,shooting,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:27,MIA,free throw,,,,,,,1,,2,Mario Chalmers,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:27,MIA,free throw,,,,,,,2,,2,Mario Chalmers,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:18,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,turnaround jump,31,16
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:17,MIA,rebound,,,,,,,,,,Joel Anthony,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:01,MIA,shot,,,,,,,,,,Mario Chalmers,,,,missed,,3pt,13,29
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,7:00,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,6:42,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,35,9
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,6:41,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,6:32,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,6:15,MIN,shot,,,,,,,,,,Randy Foye,2,,,made,,jump,10,23
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:57,MIA,shot,,,Craig Smith,,,,,,,Joel Anthony,,,,missed,,layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:56,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:53,MIA,foul,,,,,,,,Ryan Gomes,,Shawn Marion,,,,,,shooting,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:53,MIN,timeout,,,,,,,,,,,,,,,,regular,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:53,MIN,free throw,,,,,,,1,,2,Ryan Gomes,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:53,MIN,free throw,,,,,,,2,,2,Ryan Gomes,,,foul,missed,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:53,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:40,MIN,violation,,,,,,,,,,Sebastian Telfair,,,,,,kicked ball,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:31,MIA,shot,Dwyane Wade,,,,,,,,,Udonis Haslem,2,,,made,,alley oop layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:12,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,39,19
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:11,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:02,MIA,shot,,,,,,,,,,Joel Anthony,,,,missed,,jump,39,18
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,5:02,MIN,rebound,,,,,,,,,,Craig Smith,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,4:41,MIN,turnover,,,,,,,,,,Sebastian Telfair,,,bad pass,,Joel Anthony,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,4:37,MIN,foul,,,,,,,,Dwyane Wade,,Sebastian Telfair,,,,,,shooting,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,4:37,MIA,free throw,,,,,,,1,,2,Dwyane Wade,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Mike Miller,Randy Foye,Sebastian Telfair,1,4:37,MIN,sub,,,,Mike Miller,,Ryan Gomes,,,,,,,,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Mike Miller,Rodney Carney,Sebastian Telfair,1,4:37,MIN,sub,,,,Rodney Carney,,Randy Foye,,,,,,,,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Mike Miller,Rodney Carney,Sebastian Telfair,1,4:37,MIA,free throw,,,,,,,2,,2,Dwyane Wade,,,foul,missed,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Al Jefferson,Craig Smith,Mike Miller,Rodney Carney,Sebastian Telfair,1,4:36,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,off,,
