a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,12:00,OFF,jump ball,,Jared Jeffries,,,Samuel Dalembert,,,,,,,Andre Miller,,,,,,
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:41,PHI,shot,Andre Miller,,,,,,,,,Thaddeus Young,2,,,made,,hook,31,6
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:27,NYK,turnover,,,,,,,,,,Wilson Chandler,,,bad pass,,Andre Miller,,,
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:24,PHI,shot,Thaddeus Young,,,,,,,,,Andre Iguodala,2,,,made,,slam dunk,25,6
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:57,NYK,shot,Wilson Chandler,,,,,,,,,David Lee,2,,,made,,turnaround jump,34,6
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:40,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,jump,32,24
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:21,NYK,shot,,,,,,,,,,Wilson Chandler,,,,missed,,jump,41,5
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:19,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:06,PHI,shot,Andre Miller,,,,,,,,,Andre Iguodala,3,,,made,,3pt,33,31
Chris Duhon,David Lee,Jared Jeffries,Quentin Richardson,Wilson Chandler,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,9:55,NYK,shot,,,,,,,,,,Chris Duhon,,,,missed,,3pt,10,27
