a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,12:00,OFF,jump ball,,Joakim Noah,,,Al Jefferson,,,,,,,Luol Deng,,,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:44,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,jump,18,24
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:43,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:28,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump hook,35,9
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:27,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:19,CHI,shot,,,,,,,,,,Derrick Rose,2,,,made,,pullup jump,15,20
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:09,CHI,foul,,,,,,,,Randy Foye,,Ben Gordon,,,,,,shooting,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:09,MIN,free throw,,,,,,,1,,2,Randy Foye,,,foul,made,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:09,MIN,free throw,,,,,,,2,,2,Randy Foye,,,foul,made,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:58,CHI,shot,,,,,,,,,,Derrick Rose,,,,missed,,jump,13,22
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:57,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:47,MIN,turnover,,,,,,,,,,Craig Smith,,,bad pass,,Ben Gordon,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:44,MIN,foul,,,,,,,,Derrick Rose,,Sebastian Telfair,,,,,,shooting,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:44,CHI,free throw,,,,,,,1,,2,Derrick Rose,,,foul,missed,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:44,CHI,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:44,CHI,free throw,,,,,,,2,,2,Derrick Rose,,,foul,made,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:22,MIN,shot,,,Joakim Noah,,,,,,,Al Jefferson,,,,missed,,layup,25,6
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:20,CHI,rebound,,,,,,,,,,Ben Gordon,,,,,,def,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:18,MIN,foul,,,,,,,,Luol Deng,,Ryan Gomes,,,,,,shooting,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:18,CHI,free throw,,,,,,,1,,2,Luol Deng,,,foul,missed,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:18,CHI,free throw,,,,,,,2,,2,Luol Deng,,,foul,made,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:18,CHI,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:01,MIN,shot,,,,,,,,,,Randy Foye,,,,missed,,3pt,20,31
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:00,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:49,CHI,shot,Derrick Rose,,,,,,,,,Luol Deng,2,,,made,,jump,38,21
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:35,MIN,shot,,,Joakim Noah,,,,,,,Al Jefferson,,,,missed,,layup,25,6
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:35,MIN,rebound,,,,,,,,,,,,,,,,,,
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:33,MIN,shot,,,,,,,,,,Craig Smith,,,,missed,,jump bank,28,8
Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,Al Jefferson,Craig Smith,Randy Foye,Ryan Gomes,Sebastian Telfair,1,9:32,CHI,rebound,,,,,,,,,,Derrick Rose,,,,,,def,,
