a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,12:00,OFF,jump ball,,Erick Dampier,,,Kendrick Perkins,,,,,,,Jason Kidd,,,,,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:41,DAL,shot,,,,,,,,,,Antoine Wright,,,,missed,,layup,24,8
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:39,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:26,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,jump,22,21
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:25,BOS,rebound,,,,,,,,,,Rajon Rondo,,,,,,off,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:17,BOS,shot,,,,,,,,,,Kevin Garnett,2,,,made,,jump,24,12
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,11:04,DAL,turnover,,,,,,,,,,Josh Howard,,,traveling,,,,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:49,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,jump,11,7
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:49,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:33,DAL,shot,,,,,,,,,,Josh Howard,3,,,made,,3pt,48,6
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,10:12,BOS,shot,,,,,,,,,,Ray Allen,2,,,made,,jump,33,23
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:58,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,29,23
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:57,BOS,rebound,,,,,,,,,,Rajon Rondo,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:50,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,layup,24,6
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:49,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:31,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,driving layup,24,7
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:13,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,jump bank,33,15
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:12,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,9:06,DAL,shot,,,,,,,,,,Josh Howard,2,,,made,,jump,17,22
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:54,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,jump,18,23
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:53,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:40,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,8,7
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:35,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:30,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,3pt,20,31
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:29,BOS,rebound,,,,,,,,,,,,,,,,,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:10,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,jump,23,27
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,8:10,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,off,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Josh Howard,Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,1,7:58,BOS,shot,,,,,,,,,,Ray Allen,2,,,made,,pullup jump,31,15
