a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,12:00,OFF,jump ball,,Emeka Okafor,,,Greg Oden,,,,,,,Boris Diaw,,,,,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,11:49,CHA,turnover,,,,,,,,,,Boris Diaw,,,lost ball,,Sergio Rodriguez,,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,11:44,POR,shot,Brandon Roy,,,,,,,,,Nicolas Batum,2,,,made,,layup,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,11:22,CHA,shot,,,,,,,,,,Raja Bell,,,,missed,,3pt,44,21
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,11:21,POR,rebound,,,,,,,,,,Nicolas Batum,,,,,,def,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,11:03,POR,shot,Sergio Rodriguez,,,,,,,,,Brandon Roy,2,,,made,,driving reverse layup,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,10:40,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,driving layup,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,10:39,CHA,rebound,,,,,,,,,,Raymond Felton,,,,,,off,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,10:27,CHA,shot,Raymond Felton,,,,,,,,,Emeka Okafor,2,,,made,,driving slam dunk,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,10:06,POR,shot,Sergio Rodriguez,,,,,,,,,Greg Oden,2,,,made,,driving hook,31,11
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,9:53,POR,foul,,,,,,,,Adam Morrison,,Nicolas Batum,,,,,,personal,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,9:45,CHA,shot,,,,,,,,,,Raja Bell,,,,missed,,finger roll layup,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,9:43,POR,rebound,,,,,,,,,,Nicolas Batum,,,,,,def,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,9:31,POR,shot,Sergio Rodriguez,,,,,,,,,Greg Oden,2,,,made,,reverse dunk,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,9:15,CHA,shot,Raymond Felton,,,,,,,,,Emeka Okafor,2,,,made,,dunk,25,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,8:50,POR,shot,,,,,,,,,,Nicolas Batum,,,,missed,,3pt,2,6
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,8:48,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,8:47,CHA,foul,,,,,,,,LaMarcus Aldridge,,Raja Bell,,,,,,shooting,,
Adam Morrison,Boris Diaw,Emeka Okafor,Raja Bell,Raymond Felton,Brandon Roy,Greg Oden,LaMarcus Aldridge,Nicolas Batum,Sergio Rodriguez,1,8:47,POR,free throw,,,,,,,1,,2,LaMarcus Aldridge,,,foul,missed,,,,
