a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,12:00,OFF,jump ball,,Dominic McGuire,,,Samuel Dalembert,,,,,,,Willie Green,,,,,,
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:39,PHI,shot,Willie Green,,,,,,,,,Thaddeus Young,2,,,made,,jump hook,25,11
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:27,WAS,shot,Caron Butler,,,,,,,,,Antawn Jamison,2,,,made,,layup,25,6
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:10,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,jump,46,6
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:08,PHI,rebound,,,,,,,,,,,,,,,,,,
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:02,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,40,8
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,11:00,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:43,WAS,shot,Mike James,,,,,,,,,Darius Songaila,2,,,made,,jump,15,19
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:28,PHI,shot,Willie Green,,,,,,,,,Thaddeus Young,2,,,made,,jump hook,28,15
Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,1,10:08,WAS,shot,,,,,,,,,,Darius Songaila,,,,missed,,layup,25,6
