a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,12:00,OFF,jump ball,,Josh Smith,,,Al Jefferson,,,,,,,Maurice Evans,,,,,,
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:48,ATL,foul,,,,,,,,Al Jefferson,,Al Horford,,,,,,offensive,,
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:48,ATL,turnover,,,,,,,,,,Al Horford,,,foul,,,,,
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:25,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,33,21
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:24,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:14,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,25,6
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:13,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,def,,
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,11:04,MIN,shot,Al Jefferson,,,,,,,,,Ryan Gomes,2,,,made,,jump,42,7
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:42,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,jump hook,22,10
Al Horford,Josh Smith,Marvin Williams,Maurice Evans,Mike Bibby,Al Jefferson,Kevin Love,Randy Foye,Ryan Gomes,Sebastian Telfair,1,10:25,MIN,shot,,,,,,,,,,Sebastian Telfair,,,,missed,,step back jump,24,25
