a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,12:00,OFF,jump ball,,Joel Anthony,,,Joakim Noah,,,,,,,Ben Gordon,,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,11:40,CHI,turnover,,,,,,,,,,Tyrus Thomas,,,bad pass,,Shawn Marion,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,11:18,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,43,9
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,11:16,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,11:02,CHI,shot,Tyrus Thomas,,,,,,,,,Derrick Rose,2,,,made,,driving layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,10:46,CHI,foul,,,,,,,,Mario Chalmers,,Derrick Rose,,,,,,personal,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,10:40,MIA,shot,Joel Anthony,,,,,,,,,Mario Chalmers,2,,,made,,jump,34,24
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,10:20,CHI,shot,Joakim Noah,,,,,,,,,Derrick Rose,2,,,made,,jump,16,16
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,10:08,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,10:08,CHI,violation,,,,,,,,,,Tyrus Thomas,,,,,,defensive goaltending,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:55,CHI,shot,Joakim Noah,,,,,,,,,Ben Gordon,2,,,made,,reverse layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:42,MIA,turnover,,,,,,,,,,Shawn Marion,,,illegal screen turnover,,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:31,MIA,foul,,,,,,,,Tyrus Thomas,,Joel Anthony,,,,,,shooting,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:31,CHI,free throw,,,,,,,1,,2,Tyrus Thomas,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:31,CHI,free throw,,,,,,,2,,2,Tyrus Thomas,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:20,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,12,16
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:18,MIA,rebound,,,,,,,,,,Joel Anthony,,,,,,off,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:15,MIA,shot,,,,,,,,,,Joel Anthony,,,,missed,,jump,24,12
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:13,CHI,rebound,,,,,,,,,,Derrick Rose,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:07,CHI,shot,Luol Deng,,,,,,,,,Ben Gordon,2,,,made,,jump,39,15
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:07,MIA,foul,,,,,,,,Ben Gordon,,Shawn Marion,,,,,,shooting,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:07,CHI,free throw,,,,,,,1,,1,Ben Gordon,,,foul,made,,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,9:02,MIA,timeout,,,,,,,,,,,,,,,,regular,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,8:47,MIA,shot,Udonis Haslem,,,,,,,,,Mario Chalmers,2,,,made,,jump,17,24
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,8:33,CHI,shot,Derrick Rose,,,,,,,,,Ben Gordon,2,,,made,,jump,35,23
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,8:15,MIA,shot,Dwyane Wade,,,,,,,,,Shawn Marion,2,,,made,,dunk,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,7:51,CHI,turnover,,,,,,,,,,Tyrus Thomas,,,lost ball,,Shawn Marion,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,7:36,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,38,10
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,7:33,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,7:26,CHI,shot,Derrick Rose,,,,,,,,,Joakim Noah,2,,,made,,layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,7:02,MIA,turnover,,,,,,,,,,Mario Chalmers,,,bad pass,,Luol Deng,,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:59,CHI,shot,,,,,,,,,,Luol Deng,2,,,made,,layup,25,6
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:38,MIA,shot,Shawn Marion,,,,,,,,,Joel Anthony,2,,,made,,jump,11,12
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:15,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,running jump,24,19
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:13,MIA,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:11,CHI,foul,,,,,,,,Dwyane Wade,,Tyrus Thomas,,,,,,shooting,,
Dwyane Wade,Joel Anthony,Mario Chalmers,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:11,MIA,free throw,,,,,,,1,,2,Dwyane Wade,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:11,MIA,sub,,,,Michael Beasley,,Joel Anthony,,,,,,,,,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,6:11,MIA,free throw,,,,,,,2,,2,Dwyane Wade,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:57,CHI,shot,,,,,,,,,,Ben Gordon,,,,missed,,fade away jumper,32,22
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:53,MIA,rebound,,,,,,,,,,Mario Chalmers,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:39,CHI,foul,,,,,,,,Udonis Haslem,,Luol Deng,,,,,,shooting,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:39,MIA,free throw,,,,,,,1,,2,Udonis Haslem,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:39,MIA,free throw,,,,,,,2,,2,Udonis Haslem,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:24,CHI,turnover,,,,,,,,,,Joakim Noah,,,bad pass,,Mario Chalmers,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:20,MIA,shot,Mario Chalmers,,,,,,,,,Shawn Marion,2,,,made,,slam dunk,25,6
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:13,CHI,timeout,,,,,,,,,,,,,,,,regular,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:00,MIA,foul,,,,,,,,Ben Gordon,,Udonis Haslem,,,,,,shooting,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:00,CHI,free throw,,,,,,,1,,2,Ben Gordon,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,5:00,CHI,free throw,,,,,,,2,,2,Ben Gordon,,,foul,made,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,4:40,MIA,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump,35,15
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,4:38,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,4:33,CHI,turnover,,,,,,,,,,Ben Gordon,,,lost ball,,Mario Chalmers,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,4:22,MIA,turnover,,,,,,,,,,Udonis Haslem,,,bad pass,,,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,4:10,CHI,shot,,,,,,,,,,Tyrus Thomas,,,,missed,,driving layup,25,6
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,4:09,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,3:57,MIA,shot,,,,,,,,,,Michael Beasley,2,,,made,,jump bank,20,10
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,3:40,CHI,shot,,,,,,,,,,Derrick Rose,,,,missed,,jump,37,16
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,3:38,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,3:29,MIA,turnover,,,,,,,,,,Dwyane Wade,,,bad pass,,Joakim Noah,,,
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,3:24,CHI,shot,Derrick Rose,,,,,,,,,Ben Gordon,2,,,made,,layup,25,6
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,2:58,MIA,shot,,,,,,,,,,Shawn Marion,,,,missed,,3pt,2,8
Dwyane Wade,Mario Chalmers,Michael Beasley,Shawn Marion,Udonis Haslem,Ben Gordon,Derrick Rose,Joakim Noah,Luol Deng,Tyrus Thomas,1,2:55,CHI,rebound,,,,,,,,,,Tyrus Thomas,,,,,,def,,
