a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,12:00,OFF,jump ball,,Kevin Love,,,Dominic McGuire,,,,,,,Antawn Jamison,,,,,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,11:49,WAS,shot,Caron Butler,,,,,,,,,Mike James,3,,,made,,3pt,9,25
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,11:33,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,17,6
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,11:32,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,11:24,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,42,5
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,11:22,MIN,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,11:13,MIN,shot,,,,,,,,,,Randy Foye,2,,,made,,jump,6,9
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:51,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,21,10
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:49,MIN,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:45,WAS,foul,,,,,,,,Mike Miller,,Mike James,,,,,,personal,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:34,MIN,shot,,,,,,,,,,Kevin Love,,,,missed,,jump,26,11
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:32,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:17,WAS,shot,,,,,,,,,,Mike James,,,,missed,,jump,42,3
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:16,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,def,,
Kevin Love,Mike Miller,Randy Foye,Ryan Gomes,Sebastian Telfair,Antawn Jamison,Caron Butler,Darius Songaila,Dominic McGuire,Mike James,1,10:03,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,17,11
