a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Andrea Bargnani,,,,,,,Anderson Varejao,,,,,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:42,TOR,foul,,,,,,,,Zydrunas Ilgauskas,,Andrea Bargnani,,,,,,shooting,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:42,CLE,free throw,,,,,,,1,,2,Zydrunas Ilgauskas,,,foul,missed,,,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:42,CLE,rebound,,,,,,,,,,,,,,,,,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:42,CLE,free throw,,,,,,,2,,2,Zydrunas Ilgauskas,,,foul,missed,,,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:41,TOR,rebound,,,,,,,,,,Joey Graham,,,,,,def,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:34,TOR,shot,,,,,,,,,,Jose Calderon,2,,,made,,driving layup,25,6
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:12,CLE,shot,,,,,,,,,,Tarence Kinsey,,,,missed,,3pt,13,28
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,11:10,TOR,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,10:55,TOR,shot,Joey Graham,,,,,,,,,Andrea Bargnani,2,,,made,,driving finger roll layup,25,6
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,10:43,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,layup,25,6
Anderson Varejao,LeBron James,Mo Williams,Tarence Kinsey,Zydrunas Ilgauskas,Andrea Bargnani,Anthony Parker,Joey Graham,Jose Calderon,Shawn Marion,1,10:42,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,off,,
