a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,12:00,OFF,jump ball,,Emeka Okafor,,,Yao Ming,,,,,,,Raymond Felton,,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,11:48,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,14,19
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,11:46,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,11:35,HOU,shot,,,,,,,,,,Yao Ming,,,,missed,,turnaround jump,34,11
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,11:34,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,11:17,CHA,shot,,,Yao Ming,,,,,,,Emeka Okafor,,,,missed,,layup,25,6
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,11:15,HOU,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:56,HOU,shot,Aaron Brooks,,,,,,,,,Shane Battier,3,,,made,,3pt,2,6
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:34,HOU,foul,,,,,,,,Raymond Felton,,Ron Artest,,,,,,personal,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:28,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,3pt,49,5
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:26,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:22,CHA,shot,,,,,,,,,,Raja Bell,,,,missed,,3pt,14,29
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:21,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:16,CHA,shot,Raymond Felton,,,,,,,,,Boris Diaw,2,,,made,,turnaround jump,31,13
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:02,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,layup,25,6
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,10:01,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:58,CHA,turnover,,,,,,,,,,Emeka Okafor,,,bad pass,,Luis Scola,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:55,HOU,shot,Luis Scola,,,,,,,,,Aaron Brooks,2,,,made,,jump,47,5
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:38,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:36,HOU,rebound,,,,,,,,,,Yao Ming,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:34,HOU,turnover,,,,,,,,,,Yao Ming,,,bad pass,,Raymond Felton,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:23,CHA,shot,Boris Diaw,,,,,,,,,Raymond Felton,3,,,made,,3pt,47,21
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,9:06,HOU,shot,Ron Artest,,,,,,,,,Yao Ming,2,,,made,,hook,15,6
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,8:47,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,27,9
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,8:45,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,8:39,HOU,turnover,,,,,,,,,,Luis Scola,,,bad pass,,Emeka Okafor,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,1,8:29,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,jump,25,11
