a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Marcus Camby,,,,,,,Mardy Collins,,,,,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,11:37,LAC,shot,,,,,,,,,,Marcus Camby,2,,,made,,driving layup,25,6
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,11:18,BOS,shot,Paul Pierce,,,,,,,,,Ray Allen,3,,,made,,3pt,13,28
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,11:03,LAC,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,10,20
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,11:02,LAC,rebound,,,,,,,,,,Zach Randolph,,,,,,off,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:58,LAC,shot,,,,,,,,,,Zach Randolph,,,,missed,,jump,7,9
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:57,BOS,rebound,,,,,,,,,,Glen Davis,,,,,,def,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:45,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,jump,21,24
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:44,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:34,LAC,shot,Baron Davis,,,,,,,,,Marcus Camby,2,,,made,,jump,18,24
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:19,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,3pt,49,13
Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,Baron Davis,Eric Gordon,Marcus Camby,Mardy Collins,Zach Randolph,1,10:18,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
