a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,12:00,OFF,jump ball,,Marcus Camby,,,Spencer Hawes,,,,,,,Zach Randolph,,,,,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,11:47,LAC,shot,,,,,,,,,,Marcus Camby,2,,,made,,layup,25,6
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,11:47,SAC,foul,,,,,,,,Marcus Camby,,Spencer Hawes,,,,,,shooting,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,11:47,LAC,free throw,,,,,,,1,,1,Marcus Camby,,,foul,missed,,,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,11:46,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,def,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,11:30,SAC,shot,,,,,,,,,,Francisco Garcia,2,,,made,,jump,27,24
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,11:11,LAC,shot,Fred Jones,,,,,,,,,Zach Randolph,2,,,made,,jump,44,12
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:59,SAC,turnover,,,,,,,,,,Francisco Garcia,,,bad pass,,Zach Randolph,,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:54,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,layup,25,6
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:53,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,def,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:40,SAC,shot,,,,,,,,,,Francisco Garcia,,,,missed,,jump,11,7
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:39,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:27,LAC,shot,,,,,,,,,,Mardy Collins,,,,missed,,jump,26,15
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:26,SAC,rebound,,,,,,,,,,Bobby Jackson,,,,,,def,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:21,SAC,shot,Kevin Martin,,,,,,,,,Francisco Garcia,2,,,made,,layup,25,6
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,10:14,LAC,turnover,,,,,,,,,,Baron Davis,,,bad pass,,,,,
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,9:53,SAC,shot,Kevin Martin,,,,,,,,,Bobby Jackson,3,,,made,,3pt,41,26
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,9:31,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,layup,25,6
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,9:15,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,jump,39,12
Baron Davis,Fred Jones,Marcus Camby,Mardy Collins,Zach Randolph,Bobby Jackson,Francisco Garcia,Jason Thompson,Kevin Martin,Spencer Hawes,1,9:13,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
