a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,12:00,OFF,jump ball,,Jared Jeffries,,,Jermaine O'Neal,,,,,,,David Lee,,,,,,
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:41,NYK,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,33,24
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:40,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,def,,
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:23,MIA,shot,,,,,,,,,,Jamario Moon,2,,,made,,jump,25,23
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:08,NYK,turnover,,,,,,,,,,Chris Duhon,,,bad pass,,,,,
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:47,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,35,16
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:46,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:36,NYK,shot,,,Dwyane Wade,,,,,,,Larry Hughes,,,,missed,,jump,8,16
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:35,MIA,foul,,,,,,,,Larry Hughes,,Dwyane Wade,,,,,,personal,,
Al Harrington,Chris Duhon,David Lee,Jared Jeffries,Larry Hughes,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:35,NYK,rebound,,,,,,,,,,Larry Hughes,,,,,,off,,
