a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,12:00,OFF,jump ball,,Rasheed Wallace,,,Kendrick Perkins,,,,,,,Rajon Rondo,,,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:45,BOS,shot,,,,,,,,,,Glen Davis,,,,missed,,hook,24,12
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:43,DET,rebound,,,,,,,,,,,,,,,,,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:21,DET,shot,Rodney Stuckey,,,,,,,,,Antonio McDyess,2,,,made,,layup,23,6
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:01,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,2,,,made,,jump,41,21
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:38,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,jump,18,19
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:37,BOS,rebound,,,,,,,,,,Rajon Rondo,,,,,,def,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:29,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,layup,25,8
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:28,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:14,DET,shot,Richard Hamilton,,,,,,,,,Antonio McDyess,2,,,made,,jump,17,22
