a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Andray Blatche,,,Nick Collison,,,,,,,Mike James,,,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:45,WAS,shot,,,,,,,,,,Dominic McGuire,,,,missed,,alley oop layup,25,6
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:44,OKC,rebound,,,,,,,,,,Kyle Weaver,,,,,,def,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:34,OKC,shot,,,,,,,,,,Nenad Krstic,2,,,made,,driving layup,25,6
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,11:11,WAS,shot,Dominic McGuire,,,,,,,,,Antawn Jamison,2,,,made,,jump,13,21
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:48,OKC,shot,,,,,,,,,,Kyle Weaver,,,,missed,,3pt,41,24
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:47,WAS,rebound,,,,,,,,,,,,,,,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:30,WAS,shot,,,Nenad Krstic,,,,,,,Darius Songaila,,,,missed,,layup,25,6
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:28,WAS,rebound,,,,,,,,,,Darius Songaila,,,,,,off,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Kyle Weaver,Nenad Krstic,Nick Collison,Russell Westbrook,Thabo Sefolosha,1,10:26,WAS,shot,,,,,,,,,,Darius Songaila,2,,,made,,putback layup,25,6
