a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,12:00,OFF,jump ball,,Anthony Randolph,,,Rasheed Wallace,,,,,,,Jamal Crawford,,,,,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:44,GSW,shot,,,,,,,,,,Ronny Turiaf,,,,missed,,jump,9,16
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:43,DET,rebound,,,,,,,,,,Antonio McDyess,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:31,DET,shot,,,,,,,,,,Rodney Stuckey,,,,missed,,jump,15,23
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:30,GSW,rebound,,,,,,,,,,Jamal Crawford,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:24,DET,foul,,,,,,,,Jamal Crawford,,Rodney Stuckey,,,,,,shooting,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:24,GSW,free throw,,,,,,,1,,2,Jamal Crawford,,,foul,made,,,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:24,GSW,free throw,,,,,,,2,,2,Jamal Crawford,,,foul,made,,,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,11:03,DET,shot,,,,,,,,,,Richard Hamilton,2,,,made,,pullup jump,39,14
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:48,GSW,shot,,,,,,,,,,Marco Belinelli,,,,missed,,jump,40,17
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:47,DET,rebound,,,,,,,,,,Rodney Stuckey,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:42,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,jump,43,11
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:41,GSW,rebound,,,,,,,,,,Rob Kurz,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:29,GSW,turnover,,,,,,,,,,Marco Belinelli,,,bad pass,,Rodney Stuckey,,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:27,DET,shot,,,Anthony Randolph,,,,,,,Rodney Stuckey,,,,missed,,layup,25,6
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:24,GSW,rebound,,,,,,,,,,Anthony Randolph,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:14,GSW,shot,,,,,,,,,,Jamal Crawford,,,,missed,,jump,13,20
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:13,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,10:00,DET,shot,,,,,,,,,,Antonio McDyess,,,,missed,,fade away jumper,9,7
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,9:59,GSW,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,9:47,DET,foul,,,,,,,,Ronny Turiaf,,Rasheed Wallace,,,,,,personal,,
Anthony Randolph,Jamal Crawford,Marco Belinelli,Rob Kurz,Ronny Turiaf,Antonio McDyess,Rasheed Wallace,Richard Hamilton,Rodney Stuckey,Tayshaun Prince,1,9:39,GSW,shot,,,,,,,,,,Jamal Crawford,,,,missed,,pullup jump,17,25
