a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,12:00,OFF,jump ball,,Jason Collins,,,Pau Gasol,,,,,,,Lamar Odom,,,,,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:53,LAL,shot,,,Mike Miller,,,,,,,Luke Walton,,,,missed,,layup,25,6
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:51,MIN,rebound,,,,,,,,,,Kevin Love,,,,,,def,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:40,MIN,shot,,,Lamar Odom,,,,,,,Kevin Love,,,,missed,,layup,25,6
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:38,MIN,rebound,,,,,,,,,,Jason Collins,,,,,,off,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:31,MIN,shot,,,,,,,,,,Sebastian Telfair,,,,missed,,3pt,49,9
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:30,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:23,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,jump,41,17
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:22,MIN,rebound,,,,,,,,,,Jason Collins,,,,,,def,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:09,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,41,12
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,11:08,MIN,rebound,,,,,,,,,,,,,,,,,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,10:54,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,3pt,48,8
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,10:53,MIN,rebound,,,,,,,,,,Jason Collins,,,,,,off,,
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,10:48,MIN,shot,,,,,,,,,,Mike Miller,,,,missed,,3pt,38,28
Jason Collins,Kevin Love,Mike Miller,Ryan Gomes,Sebastian Telfair,Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,1,10:47,LAL,rebound,,,,,,,,,,,,,,,,,,
