a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,12:00,OFF,jump ball,,Pau Gasol,,,Joel Przybilla,,,,,,,Steve Blake,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,11:35,POR,shot,Brandon Roy,,,,,,,,,LaMarcus Aldridge,3,,,made,,3pt,48,5
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,11:15,LAL,shot,Luke Walton,,,,,,,,,Pau Gasol,2,,,made,,jump,38,18
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,10:52,POR,shot,,,,,,,,,,Brandon Roy,2,,,made,,jump,37,13
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,10:35,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,turnaround jump,33,12
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,10:35,POR,rebound,,,,,,,,,,Joel Przybilla,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,10:16,POR,shot,,,,,,,,,,Steve Blake,,,,missed,,3pt,47,5
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,10:15,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,10:10,LAL,shot,Luke Walton,,,,,,,,,Kobe Bryant,2,,,made,,layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,9:51,POR,turnover,,,,,,,,,,Brandon Roy,,,lost ball,,Pau Gasol,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,9:38,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,fade away jumper,6,7
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,9:14,POR,shot,,,,,,,,,,Nicolas Batum,,,,missed,,3pt,32,29
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,9:13,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Luke Walton,Pau Gasol,Brandon Roy,Joel Przybilla,LaMarcus Aldridge,Nicolas Batum,Steve Blake,1,9:05,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,pullup jump,15,6
