a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,12:00,OFF,jump ball,,Tyson Chandler,,,Josh Smith,,,,,,,Julian Wright,,,,,,
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:38,NOH,shot,,,,,,,,,,Chris Paul,2,,,made,,running jump,20,11
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:16,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,running layup,27,7
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:54,NOH,shot,Rasual Butler,,,,,,,,,Julian Wright,2,,,made,,dunk,25,6
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:35,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,driving layup,23,6
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:33,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:27,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,31,23
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:25,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:13,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,fade away jumper,8,9
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:53,ATL,foul,,,,,,,,Chris Paul,,Maurice Evans,,,,,,personal,,
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:44,NOH,shot,Julian Wright,,,,,,,,,Rasual Butler,3,,,made,,3pt,10,29
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:19,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,fade away jumper,12,20
Chris Paul,David West,Julian Wright,Rasual Butler,Tyson Chandler,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:17,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
