a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Jermaine O'Neal,,,,,,,Stephon Marbury,,,,,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:36,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,jump,16,19
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:35,MIA,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:15,BOS,foul,,,,,,,,Jermaine O'Neal,,Kendrick Perkins,,,,,,personal,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,11:07,MIA,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,jump,14,19
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:59,MIA,foul,,,,,,,,Paul Pierce,,Jamario Moon,,,,,,personal,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:57,BOS,turnover,,,,,,,,,,Stephon Marbury,,,lost ball,,Mario Chalmers,,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:54,MIA,shot,,,,,,,,,,Mario Chalmers,2,,,made,,layup,25,6
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:37,BOS,shot,,,,,,,,,,Paul Pierce,2,,,made,,jump,40,19
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:35,BOS,violation,,,,,,,,,,,,,,,,delay of game,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:17,MIA,turnover,,,,,,,,,,Jermaine O'Neal,,,out of bounds lost ball turnover,,,,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:10,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,hook,17,8
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:09,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,off,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,10:08,BOS,shot,,,,,,,,,,Leon Powe,2,,,made,,jump,23,9
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:44,MIA,shot,,,,,,,,,,Mario Chalmers,,,,missed,,3pt,21,31
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:43,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,off,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:33,BOS,foul,,,,,,,,Jermaine O'Neal,,Kendrick Perkins,,,,,,personal,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:25,BOS,foul,,,,,,,,Jermaine O'Neal,,Leon Powe,,,,,,personal,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:19,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,turnaround jump,35,7
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:18,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,9:11,BOS,shot,,,,,,,,,,Ray Allen,3,,,made,,3pt,33,29
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:51,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,3pt,47,9
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:50,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,def,,
Kendrick Perkins,Leon Powe,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:43,MIA,foul,,,,,,,,Leon Powe,,Mario Chalmers,,,,,,personal,,
Leon Powe,Mikki Moore,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:43,BOS,sub,,,,Mikki Moore,,Kendrick Perkins,,,,,,,,,,,,
Leon Powe,Mikki Moore,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:34,BOS,shot,,,,,,,,,,Stephon Marbury,,,,missed,,3pt,6,22
Leon Powe,Mikki Moore,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:33,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,def,,
Leon Powe,Mikki Moore,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:21,MIA,shot,Jamario Moon,,,,,,,,,Udonis Haslem,2,,,made,,jump,11,15
Leon Powe,Mikki Moore,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:02,BOS,shot,,,,,,,,,,Mikki Moore,,,,missed,,jump,12,23
Leon Powe,Mikki Moore,Paul Pierce,Ray Allen,Stephon Marbury,Dwyane Wade,Jamario Moon,Jermaine O'Neal,Mario Chalmers,Udonis Haslem,1,8:00,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,off,,
