a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,12:00,OFF,jump ball,,Erick Dampier,,,Pau Gasol,,,,,,,Lamar Odom,,,,,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,11:40,LAL,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,16,19
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,11:37,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,11:34,DAL,shot,Jason Kidd,,,,,,,,,Antoine Wright,2,,,made,,driving layup,25,6
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,11:18,LAL,shot,Kobe Bryant,,,,,,,,,Pau Gasol,2,,,made,,jump,37,18
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,10:52,DAL,shot,,,Pau Gasol,,,,,,,Erick Dampier,,,,missed,,jump,28,8
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,10:52,DAL,rebound,,,,,,,,,,,,,,,,,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,10:52,DAL,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,10:33,LAL,shot,,,Dirk Nowitzki,,,,,,,Lamar Odom,,,,missed,,layup,25,6
Antoine Wright,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,1,10:31,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,off,,
