a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,12:00,OFF,jump ball,,Brook Lopez,,,Marcus Camby,,,,,,,Devin Harris,,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:42,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,hook,20,12
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:39,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:33,LAC,shot,Baron Davis,,,,,,,,,Eric Gordon,2,,,made,,layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:21,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,33,23
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:20,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:05,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,16,15
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,11:04,NJN,rebound,,,,,,,,,,Devin Harris,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,10:49,NJN,shot,,,,,,,,,,Brook Lopez,,,,missed,,jump,11,18
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,10:48,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,10:34,LAC,turnover,,,,,,,,,,Chris Kaman,,,traveling,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,10:21,NJN,shot,,,,,,,,,,Trenton Hassell,2,,,made,,turnaround fade away,16,11
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,10:00,LAC,shot,,,,,,,,,,Eric Gordon,2,,,made,,jump,5,14
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:44,LAC,foul,,,,,,,,Vince Carter,,Baron Davis,,,,,,shooting,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:44,NJN,free throw,,,,,,,1,,2,Vince Carter,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:44,NJN,free throw,,,,,,,2,,2,Vince Carter,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:27,LAC,shot,Baron Davis,,,,,,,,,Marcus Camby,2,,,made,,alley oop dunk,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:09,NJN,shot,,,,,,,,,,Devin Harris,2,,,made,,driving layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:09,LAC,foul,,,,,,,,Devin Harris,,Al Thornton,,,,,,shooting,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,9:09,NJN,free throw,,,,,,,1,,1,Devin Harris,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:59,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,3pt,23,34
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:58,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:52,NJN,turnover,,,,,,,,,,Devin Harris,,,bad pass,,Baron Davis,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:48,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,driving layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:35,NJN,shot,Vince Carter,,,,,,,,,Devin Harris,2,,,made,,layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:20,LAC,turnover,,,,,,,,,,Eric Gordon,,,out of bounds lost ball turnover,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:08,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,driving layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:08,LAC,foul,,,,,,,,Vince Carter,,Chris Kaman,,,,,,shooting,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,8:08,NJN,free throw,,,,,,,1,,1,Vince Carter,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,7:48,LAC,turnover,,,,,,,,,,Chris Kaman,,,bad pass,,Devin Harris,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,7:39,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,jump,44,8
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,7:38,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,7:21,LAC,shot,Marcus Camby,,,,,,,,,Chris Kaman,2,,,made,,reverse layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,1,6:58,LAC,foul,,,,,,,,Yi Jianlian,,Chris Kaman,,,,,,shooting,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:58,LAC,sub,,,,DeAndre Jordan,,Chris Kaman,,,,,,,,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:58,NJN,free throw,,,,,,,1,,2,Yi Jianlian,,,foul,missed,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:58,NJN,rebound,,,,,,,,,,,,,,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:58,NJN,free throw,,,,,,,2,,2,Yi Jianlian,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:47,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:39,LAC,foul,,,,,,,,Devin Harris,,DeAndre Jordan,,,,,,shooting,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:39,NJN,free throw,,,,,,,1,,2,Devin Harris,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:39,NJN,free throw,,,,,,,2,,2,Devin Harris,,,foul,made,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:27,NJN,foul,,,,,,,,DeAndre Jordan,,Brook Lopez,,,,,,shooting,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:27,LAC,free throw,,,,,,,1,,2,DeAndre Jordan,,,foul,missed,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:27,LAC,rebound,,,,,,,,,,,,,,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:27,LAC,free throw,,,,,,,2,,2,DeAndre Jordan,,,foul,missed,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:27,NJN,rebound,,,,,,,,,,,,,,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:16,NJN,shot,,,Baron Davis,,,,,,,Brook Lopez,,,,missed,,layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,6:15,LAC,rebound,,,,,,,,,,,,,,,,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,5:54,LAC,shot,Baron Davis,,,,,,,,,Marcus Camby,2,,,made,,jump,31,25
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,5:31,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,jump,25,29
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,5:30,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,5:26,LAC,turnover,,,,,,,,,,Baron Davis,,,lost ball,,Devin Harris,,,
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,5:22,NJN,shot,Devin Harris,,,,,,,,,Vince Carter,2,,,made,,driving layup,25,6
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,4:57,LAC,shot,,,,,,,,,,Al Thornton,,,,missed,,jump,33,24
Brook Lopez,Devin Harris,Trenton Hassell,Vince Carter,Yi Jianlian,Al Thornton,Baron Davis,DeAndre Jordan,Eric Gordon,Marcus Camby,1,4:56,LAC,rebound,,,,,,,,,,DeAndre Jordan,,,,,,off,,
