a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,12:00,OFF,jump ball,,Marcus Camby,,,Brandan Wright,,,,,,,Eric Gordon,,,,,,
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:48,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,driving layup,28,6
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:48,GSW,foul,,,,,,,,Baron Davis,,Ronny Turiaf,,,,,,shooting,,
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:48,LAC,free throw,,,,,,,1,,1,Baron Davis,,,foul,made,,,,
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:36,GSW,shot,,,,,,,,,,Brandan Wright,,,,missed,,running hook,24,10
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:35,GSW,rebound,,,,,,,,,,,,,,,,,,
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:27,GSW,shot,Ronny Turiaf,,,,,,,,,Kelenna Azubuike,2,,,made,,pullup jump,24,21
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:06,LAC,shot,,,,,,,,,,Marcus Camby,,,,missed,,fade away jumper,11,6
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,11:05,GSW,rebound,,,,,,,,,,Kelenna Azubuike,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Brandan Wright,Kelenna Azubuike,Marco Belinelli,Monta Ellis,Ronny Turiaf,1,10:58,GSW,shot,Ronny Turiaf,,,,,,,,,Marco Belinelli,3,,,made,,3pt,1,9
