a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,12:00,OFF,jump ball,,Andray Blatche,,,Mehmet Okur,,,,,,,C.J. Miles,,,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:55,UTA,turnover,,,,,,,,,,Deron Williams,,,bad pass,,Dominic McGuire,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:53,WAS,turnover,,,,,,,,,,Dominic McGuire,,,double dribble,,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:46,UTA,turnover,,,,,,,,,,Deron Williams,,,lost ball,,Andray Blatche,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:36,WAS,shot,Mike James,,,,,,,,,Darius Songaila,2,,,made,,jump,17,8
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:22,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,jump,28,26
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:20,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,def,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:13,UTA,foul,,,,,,,,Mike James,,Carlos Boozer,,,,,,shooting,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:13,UTA,timeout,,,,,,,,,,,,,,,,short,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:13,WAS,free throw,,,,,,,1,,2,Mike James,,,foul,made,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,11:13,WAS,free throw,,,,,,,2,,2,Mike James,,,foul,made,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:55,UTA,shot,,,,,,,,,,Andrei Kirilenko,,,,missed,,3pt,42,23
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:54,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:43,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,4,8
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:43,UTA,rebound,,,,,,,,,,,,,,,,,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:43,WAS,foul,,,,,,,,Deron Williams,,Andray Blatche,,,,,,loose ball,,
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:30,UTA,shot,C.J. Miles,,,,,,,,,Carlos Boozer,2,,,made,,jump hook,24,10
Andray Blatche,Antawn Jamison,Darius Songaila,Dominic McGuire,Mike James,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,1,10:13,WAS,shot,,,,,,,,,,Mike James,,,,missed,,jump,43,14
