a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,12:00,OFF,jump ball,,Wilson Chandler,,,Dwight Howard,,,,,,,Hedo Turkoglu,,,,,,
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,11:46,ORL,shot,Hedo Turkoglu,,,,,,,,,Dwight Howard,2,,,made,,slam dunk,25,6
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,11:30,NYK,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,39,17
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,11:28,ORL,rebound,,,,,,,,,,Courtney Lee,,,,,,def,,
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,11:13,ORL,shot,Hedo Turkoglu,,,,,,,,,Rafer Alston,3,,,made,,3pt,3,4
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,11:02,NYK,shot,,,,,,,,,,Wilson Chandler,,,,missed,,jump,8,16
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,11:01,ORL,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,10:46,ORL,shot,Hedo Turkoglu,,,,,,,,,Rashard Lewis,2,,,made,,jump,10,6
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,10:20,NYK,shot,,,,,,,,,,Quentin Richardson,2,,,made,,jump,13,20
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,10:11,NYK,foul,,,,,,,,Dwight Howard,,Quentin Richardson,,,,,,shooting,,
Al Harrington,Chris Duhon,Larry Hughes,Quentin Richardson,Wilson Chandler,Courtney Lee,Dwight Howard,Hedo Turkoglu,Rafer Alston,Rashard Lewis,1,10:11,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,missed,,,,
