a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,12:00,OFF,jump ball,,Marcus Camby,,,Chris Bosh,,,,,,,Jake Voskuhl,,,,,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,11:40,TOR,shot,,,,,,,,,,Anthony Parker,,,,missed,,3pt,1,6
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,11:39,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,11:23,LAC,shot,Eric Gordon,,,,,,,,,Zach Randolph,2,,,made,,jump,9,8
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,11:07,TOR,shot,,,,,,,,,,Jake Voskuhl,,,,missed,,jump,42,8
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,11:06,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:55,LAC,shot,Baron Davis,,,,,,,,,Zach Randolph,2,,,made,,jump,37,20
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:44,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,42,13
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:43,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:35,LAC,turnover,,,,,,,,,,Baron Davis,,,lost ball,,Chris Bosh,,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:28,TOR,shot,,,,,,,,,,Anthony Parker,,,,missed,,jump,38,21
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:27,LAC,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:24,LAC,turnover,,,,,,,,,,Baron Davis,,,bad pass,,Anthony Parker,,,
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,10:19,TOR,shot,Anthony Parker,,,,,,,,,Chris Bosh,2,,,made,,layup,25,6
Baron Davis,Eric Gordon,Fred Jones,Marcus Camby,Zach Randolph,Anthony Parker,Chris Bosh,Jake Voskuhl,Jose Calderon,Shawn Marion,1,9:55,LAC,turnover,,,,,,,,,,Baron Davis,,,lost ball,,Jose Calderon,,,
