a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,12:00,OFF,jump ball,,Marc Gasol,,,Jamaal Magloire,,,,,,,Udonis Haslem,,,,,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,11:45,MIA,shot,Udonis Haslem,,,,,,,,,Dwyane Wade,2,,,made,,reverse layup,25,6
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,11:25,MEM,shot,,,,,,,,,,Darrell Arthur,,,,missed,,turnaround jump,37,9
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,11:24,MIA,rebound,,,,,,,,,,Dwyane Wade,,,,,,def,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,11:06,MIA,shot,Dwyane Wade,,,,,,,,,Jamario Moon,3,,,made,,3pt,48,8
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:42,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,jump,19,14
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:41,MEM,rebound,,,,,,,,,,Marc Gasol,,,,,,off,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:38,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,3pt,36,29
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:36,MIA,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:32,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,19,18
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:30,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,off,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:30,MIA,shot,,,,,,,,,,Udonis Haslem,2,,,made,,putback dunk,25,6
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:23,MEM,timeout,,,,,,,,,,,,,,,,regular,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:10,MEM,shot,,,,,,,,,,Mike Conley,,,,missed,,jump,16,20
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:09,MIA,rebound,,,,,,,,,,Jamaal Magloire,,,,,,def,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,10:00,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,9:33,MEM,shot,,,,,,,,,,Darrell Arthur,,,,missed,,jump,21,10
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,9:32,MIA,rebound,,,,,,,,,,Jamario Moon,,,,,,def,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,9:21,MIA,shot,Dwyane Wade,,,,,,,,,Udonis Haslem,2,,,made,,jump,25,25
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:59,MEM,shot,,,,,,,,,,O.J. Mayo,,,,missed,,jump,13,12
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:57,MIA,rebound,,,,,,,,,,Jamaal Magloire,,,,,,def,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:40,MIA,turnover,,,,,,,,,,Jamaal Magloire,,,poss lost ball turnover,,Rudy Gay,,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:30,MEM,shot,,,,,,,,,,O.J. Mayo,2,,,made,,jump,15,24
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:08,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,15,10
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:06,MIA,rebound,,,,,,,,,,Jamaal Magloire,,,,,,off,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,8:05,MIA,shot,,,,,,,,,,Jamaal Magloire,2,,,made,,putback dunk,25,6
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:54,MEM,shot,,,,,,,,,,O.J. Mayo,,,,missed,,3pt,48,10
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:53,MEM,rebound,,,,,,,,,,O.J. Mayo,,,,,,off,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:50,MEM,shot,,,,,,,,,,O.J. Mayo,2,,,made,,running hook,23,11
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:36,MEM,foul,,,,,,,,Dwyane Wade,,O.J. Mayo,,,,,,shooting,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:36,MIA,free throw,,,,,,,1,,2,Dwyane Wade,,,foul,made,,,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:36,MIA,free throw,,,,,,,2,,2,Dwyane Wade,,,foul,missed,,,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:35,MEM,rebound,,,,,,,,,,Darrell Arthur,,,,,,def,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:22,MEM,turnover,,,,,,,,,,Mike Conley,,,bad pass,,,,,
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:01,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,12,20
Darrell Arthur,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:00,MEM,rebound,,,,,,,,,,Mike Conley,,,,,,def,,
Hakim Warrick,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,7:00,MEM,sub,,,,Hakim Warrick,,Darrell Arthur,,,,,,,,,,,,
Hakim Warrick,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,Dwyane Wade,Jamaal Magloire,Jamario Moon,Mario Chalmers,Udonis Haslem,1,6:46,MIA,foul,,,,,,,,Marc Gasol,,Jamaal Magloire,,,,,,personal,,
