a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,12:00,OFF,jump ball,,Hilton Armstrong,,,David Lee,,,,,,,Chris Paul,,,,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,11:37,NOH,shot,,,,,,,,,,Rasual Butler,,,,missed,,jump,23,19
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,11:35,NYK,rebound,,,,,,,,,,Wilson Chandler,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,11:20,NYK,shot,,,,,,,,,,Chris Duhon,,,,missed,,3pt,44,25
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,11:19,NOH,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,11:12,NOH,shot,Chris Paul,,,,,,,,,Rasual Butler,3,,,made,,3pt,6,23
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:58,NYK,shot,,,,,,,,,,David Lee,,,,missed,,jump,36,21
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:57,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:41,NOH,shot,,,,,,,,,,Hilton Armstrong,,,,missed,,jump,25,12
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:39,NYK,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:33,NYK,shot,,,,,,,,,,Wilson Chandler,2,,,made,,jump,14,20
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:15,NOH,turnover,,,,,,,,,,Chris Paul,,,step out of bounds turnover,,,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:05,NYK,shot,,,Rasual Butler,,,,,,,Larry Hughes,,,,missed,,layup,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,10:05,NYK,rebound,,,,,,,,,,,,,,,,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:59,NYK,shot,Larry Hughes,,,,,,,,,Al Harrington,3,,,made,,3pt,40,27
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:37,NOH,shot,,,,,,,,,,Julian Wright,,,,missed,,jump,23,8
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:35,NYK,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:30,NYK,shot,,,,,,,,,,Larry Hughes,,,,missed,,3pt,9,26
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:28,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:11,NOH,shot,,,,,,,,,,David West,2,,,made,,layup,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:11,NYK,foul,,,,,,,,David West,,Al Harrington,,,,,,shooting,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,9:11,NOH,free throw,,,,,,,1,,1,David West,,,foul,made,,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,8:47,NYK,shot,,,,,,,,,,Al Harrington,3,,,made,,3pt,22,32
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,8:27,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,24,13
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,8:26,NYK,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,8:20,NYK,shot,,,,,,,,,,Al Harrington,,,,missed,,3pt,36,31
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,8:18,NOH,rebound,,,,,,,,,,Hilton Armstrong,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,8:04,NOH,shot,,,,,,,,,,Chris Paul,2,,,made,,jump,9,12
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:51,NYK,shot,,,,,,,,,,David Lee,,,,missed,,layup,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:49,NOH,rebound,,,,,,,,,,Hilton Armstrong,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:45,NOH,shot,,,,,,,,,,Julian Wright,,,,missed,,dunk,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:43,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:35,NYK,shot,Al Harrington,,,,,,,,,David Lee,2,,,made,,layup,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:23,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,jump,32,8
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:21,NYK,rebound,,,,,,,,,,Larry Hughes,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,7:09,NOH,foul,,,,,,,,Wilson Chandler,,David West,,,,,,personal,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:58,NYK,shot,,,,,,,,,,Wilson Chandler,,,,missed,,3pt,18,32
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:56,NOH,rebound,,,,,,,,,,Hilton Armstrong,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:41,NYK,foul,,,,,,,,David West,,David Lee,,,,,,shooting,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:41,NOH,free throw,,,,,,,1,,2,David West,,,foul,made,,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:41,NOH,free throw,,,,,,,2,,2,David West,,,foul,made,,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:32,NYK,shot,,,,,,,,,,Al Harrington,,,,missed,,3pt,33,32
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:30,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:23,NOH,shot,,,,,,,,,,Rasual Butler,,,,missed,,3pt,46,20
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:21,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:16,NYK,turnover,,,,,,,,,,Larry Hughes,,,bad pass,,Hilton Armstrong,,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:09,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,layup,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:08,NOH,shot,,,,,,,,,,Julian Wright,,,,missed,,tip,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:08,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,off,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:07,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,off,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:03,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,26,20
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,6:02,NYK,rebound,,,,,,,,,,Chris Duhon,,,,,,def,,
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,5:55,NYK,shot,Larry Hughes,,,,,,,,,Wilson Chandler,3,,,made,,3pt,38,29
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,5:42,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,layup,25,6
Chris Paul,David West,Hilton Armstrong,Julian Wright,Rasual Butler,Al Harrington,Chris Duhon,David Lee,Larry Hughes,Wilson Chandler,1,5:41,NYK,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
