a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,12:00,OFF,jump ball,,Pau Gasol,,,Josh Smith,,,,,,,Trevor Ariza,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:49,LAL,turnover,,,,,,,,,,Kobe Bryant,,,bad pass,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:35,ATL,turnover,,,,,,,,,,Mike Bibby,,,out of bounds lost ball turnover,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:20,LAL,shot,,,,,,,,,,Trevor Ariza,,,,missed,,3pt,46,22
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:19,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:02,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,fade away jumper,10,9
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:58,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:53,ATL,foul,,,,,,,,Pau Gasol,,Al Horford,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:53,LAL,free throw,,,,,,,1,,2,Pau Gasol,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:53,LAL,free throw,,,,,,,2,,2,Pau Gasol,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:38,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,jump,41,18
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:38,ATL,rebound,,,,,,,,,,,,,,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:35,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,3pt,0,9
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:33,ATL,rebound,,,,,,,,,,Maurice Evans,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:31,ATL,shot,,,Pau Gasol,,,,,,,Maurice Evans,,,,missed,,putback layup,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:29,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:25,LAL,shot,Trevor Ariza,,,,,,,,,Lamar Odom,2,,,made,,running layup,27,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:12,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,44,10
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:11,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:04,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,3pt,44,25
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:02,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:53,LAL,shot,,,,,,,,,,Trevor Ariza,,,,missed,,layup,27,8
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:51,LAL,turnover,,,,,,,,,,Trevor Ariza,,,offensive goaltending,,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:51,LAL,rebound,,,,,,,,,,Trevor Ariza,,,,,,off,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:41,LAL,foul,,,,,,,,Mike Bibby,,Derek Fisher,,,,,,shooting,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:41,ATL,free throw,,,,,,,1,,2,Mike Bibby,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:41,ATL,free throw,,,,,,,2,,2,Mike Bibby,,,foul,made,,,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:30,LAL,shot,Lamar Odom,,,,,,,,,Pau Gasol,2,,,made,,dunk,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:04,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,38,21
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,9:03,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:57,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,driving dunk,25,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:43,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,23,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:41,LAL,rebound,,,,,,,,,,Trevor Ariza,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:33,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,3pt,25,33
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:31,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:19,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,driving layup,27,6
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:03,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,39,18
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:01,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,8:00,LAL,foul,,,,,,,,Joe Johnson,,Kobe Bryant,,,,,,personal,,
Derek Fisher,Kobe Bryant,Lamar Odom,Pau Gasol,Trevor Ariza,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,7:47,ATL,turnover,,,,,,,,,,Joe Johnson,,,lost ball,,Lamar Odom,,,
