a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,12:00,OFF,jump ball,,Emeka Okafor,,,Kendrick Perkins,,,,,,,Gerald Wallace,,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:39,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,hook,24,14
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:38,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:15,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,3pt,24,33
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:14,BOS,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,11:14,BOS,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:59,CHA,shot,,,,,,,,,,Raja Bell,3,,,made,,3pt,15,28
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:37,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,jump,34,11
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:35,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,off,,
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:34,BOS,shot,,,,,,,,,,Kendrick Perkins,2,,,made,,layup,24,8
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:17,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,jump,23,18
Boris Diaw,Emeka Okafor,Gerald Wallace,Raja Bell,Raymond Felton,Glen Davis,Kendrick Perkins,Paul Pierce,Rajon Rondo,Ray Allen,1,10:15,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
