a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,12:00,OFF,jump ball,,Brendan Haywood,,,Zydrunas Ilgauskas,,,,,,,Mo Williams,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:42,CLE,shot,,,,,,,,,,Delonte West,,,,missed,,jump,9,6
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:41,WAS,rebound,,,,,,,,,,Dominic McGuire,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:19,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,turnaround jump,26,17
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:18,WAS,rebound,,,,,,,,,,Javaris Crittenton,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:17,WAS,shot,,,,,,,,,,Javaris Crittenton,,,,missed,,tip,24,5
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:16,WAS,rebound,,,,,,,,,,Javaris Crittenton,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:15,WAS,shot,,,,,,,,,,Javaris Crittenton,,,,missed,,tip,25,7
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:14,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Dominic McGuire,Javaris Crittenton,Anderson Varejao,Delonte West,LeBron James,Mo Williams,Zydrunas Ilgauskas,1,11:06,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,layup,25,6
