a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,12:00,OFF,jump ball,,Yao Ming,,,Spencer Hawes,,,,,,,Andres Nocioni,,,,,,
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,11:50,SAC,shot,Andres Nocioni,,,,,,,,,Spencer Hawes,2,,,made,,jump,21,21
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,11:22,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,layup,22,6
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,11:20,SAC,rebound,,,,,,,,,,Beno Udrih,,,,,,def,,
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,11:03,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,3pt,32,30
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,11:00,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,10:46,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,37,18
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,10:44,SAC,rebound,,,,,,,,,,Andres Nocioni,,,,,,def,,
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,10:37,SAC,turnover,,,,,,,,,,Francisco Garcia,,,bad pass,,Luis Scola,,,
Aaron Brooks,Luis Scola,Ron Artest,Shane Battier,Yao Ming,Andres Nocioni,Beno Udrih,Francisco Garcia,Jason Thompson,Spencer Hawes,1,10:34,SAC,foul,,,,,,,,Luis Scola,,Andres Nocioni,,,,,,shooting,,
