a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,12:00,OFF,jump ball,,Jeff Green,,,Dan Gadzuric,,,,,,,Ramon Sessions,,,,,,
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,11:41,MIL,shot,,,,,,,,,,Richard Jefferson,,,,missed,,jump,12,18
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,11:41,OKC,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,11:19,OKC,shot,,,,,,,,,,Russell Westbrook,,,,missed,,layup,25,6
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,11:18,MIL,rebound,,,,,,,,,,Luc Richard Mbah a Moute,,,,,,def,,
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,11:09,MIL,shot,Richard Jefferson,,,,,,,,,Ramon Sessions,2,,,made,,jump,44,9
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,10:42,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,42,6
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,10:41,MIL,rebound,,,,,,,,,,Luke Ridnour,,,,,,def,,
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,10:31,MIL,shot,,,,,,,,,,Ramon Sessions,,,,missed,,jump,22,23
Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,Russell Westbrook,Dan Gadzuric,Luc Richard Mbah a Moute,Luke Ridnour,Ramon Sessions,Richard Jefferson,1,10:30,MIL,rebound,,,,,,,,,,Dan Gadzuric,,,,,,off,,
