a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Darnell Jackson,,,,,,,Andre Iguodala,,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,11:34,PHI,shot,,,,,,,,,,Andre Miller,,,,missed,,3pt,37,32
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,11:33,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,11:14,CLE,shot,,,,,,,,,,Sasha Pavlovic,2,,,made,,jump,37,16
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,10:56,PHI,turnover,,,,,,,,,,Willie Green,,,bad pass,,Darnell Jackson,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,10:49,CLE,shot,,,,,,,,,,Sasha Pavlovic,2,,,made,,driving layup,25,7
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,10:30,PHI,shot,,,,,,,,,,Thaddeus Young,2,,,made,,jump,22,24
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,10:10,CLE,shot,,,Samuel Dalembert,,,,,,,Sasha Pavlovic,,,,missed,,layup,24,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,10:08,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:59,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,40,20
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:58,CLE,rebound,,,,,,,,,,Sasha Pavlovic,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:52,CLE,turnover,,,,,,,,,,Delonte West,,,bad pass,,Thaddeus Young,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:48,CLE,foul,,,,,,,,Thaddeus Young,,Sasha Pavlovic,,,,,,shooting,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:48,PHI,free throw,,,,,,,1,,2,Thaddeus Young,,,foul,missed,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:48,PHI,rebound,,,,,,,,,,,,,,,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:48,PHI,free throw,,,,,,,2,,2,Thaddeus Young,,,foul,made,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:24,CLE,shot,,,,,,,,,,Anderson Varejao,,,,missed,,jump,11,16
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:22,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,9:00,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,3pt,7,23
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:58,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:49,CLE,shot,,,Samuel Dalembert,,,,,,,Delonte West,,,,missed,,driving layup,25,8
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:48,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:48,CLE,foul,,,,,,,,Andre Iguodala,,Anderson Varejao,,,,,,shooting,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:48,PHI,free throw,,,,,,,1,,2,Andre Iguodala,,,foul,made,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:48,PHI,free throw,,,,,,,2,,2,Andre Iguodala,,,foul,missed,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:48,CLE,rebound,,,,,,,,,,Wally Szczerbiak,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:39,CLE,turnover,,,,,,,,,,Sasha Pavlovic,,,bad pass,,Andre Miller,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:33,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,driving finger roll layup,25,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:30,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:17,CLE,turnover,,,,,,,,,,Sasha Pavlovic,,,lost ball,,Andre Iguodala,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,8:13,PHI,shot,Andre Iguodala,,,,,,,,,Thaddeus Young,2,,,made,,dunk,26,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,7:48,CLE,shot,,,,,,,,,,Delonte West,2,,,made,,jump bank,39,12
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,7:48,PHI,foul,,,,,,,,Delonte West,,Willie Green,,,,,,shooting,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,7:48,CLE,free throw,,,,,,,1,,1,Delonte West,,,foul,made,,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,7:27,PHI,shot,Andre Miller,,,,,,,,,Andre Iguodala,3,,,made,,3pt,48,12
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,7:07,CLE,shot,,,,,,,,,,Wally Szczerbiak,3,,,made,,3pt,27,31
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:53,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,13,20
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:52,CLE,rebound,,,,,,,,,,Wally Szczerbiak,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:43,CLE,shot,,,,,,,,,,Sasha Pavlovic,,,,missed,,jump bank,40,14
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:40,CLE,rebound,,,,,,,,,,Anderson Varejao,,,,,,off,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:36,CLE,shot,Anderson Varejao,,,,,,,,,Sasha Pavlovic,2,,,made,,driving layup,25,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:19,PHI,shot,Andre Iguodala,,,,,,,,,Thaddeus Young,2,,,made,,layup,25,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,6:14,CLE,turnover,,,,,,,,,,Delonte West,,,bad pass,,Thaddeus Young,,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:57,PHI,shot,Samuel Dalembert,,,,,,,,,Thaddeus Young,2,,,made,,dunk,24,5
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:40,CLE,shot,Wally Szczerbiak,,,,,,,,,Darnell Jackson,2,,,made,,jump,7,10
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:17,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,layup,27,6
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:16,CLE,rebound,,,,,,,,,,Sasha Pavlovic,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:09,CLE,shot,,,,,,,,,,Sasha Pavlovic,,,,missed,,3pt,38,28
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:07,PHI,rebound,,,,,,,,,,Thaddeus Young,,,,,,def,,
Andre Iguodala,Andre Miller,Samuel Dalembert,Thaddeus Young,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:00,CLE,timeout,,,,,,,,,,,,,,,,regular,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,Anderson Varejao,Darnell Jackson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:00,PHI,sub,,,,Reggie Evans,,Thaddeus Young,,,,,,,,,,,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,Anderson Varejao,Daniel Gibson,Delonte West,Sasha Pavlovic,Wally Szczerbiak,1,5:00,CLE,sub,,,,Daniel Gibson,,Darnell Jackson,,,,,,,,,,,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,Anderson Varejao,Daniel Gibson,Delonte West,Lorenzen Wright,Wally Szczerbiak,1,5:00,CLE,sub,,,,Lorenzen Wright,,Sasha Pavlovic,,,,,,,,,,,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,Anderson Varejao,Daniel Gibson,Delonte West,Lorenzen Wright,Wally Szczerbiak,1,4:48,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,hook,26,14
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,Anderson Varejao,Daniel Gibson,Delonte West,Lorenzen Wright,Wally Szczerbiak,1,4:44,CLE,rebound,,,,,,,,,,Daniel Gibson,,,,,,def,,
