a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,12:00,OFF,jump ball,,JaVale McGee,,,Kendrick Perkins,,,,,,,Dominic McGuire,,,,,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:38,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,3pt,2,4
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:37,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,def,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:27,BOS,shot,Stephon Marbury,,,,,,,,,Kendrick Perkins,2,,,made,,layup,25,7
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:10,WAS,shot,,,,,,,,,,JaVale McGee,,,,missed,,layup,27,7
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:09,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,def,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:02,WAS,foul,,,,,,,,Leon Powe,,JaVale McGee,,,,,,shooting,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:02,BOS,free throw,,,,,,,1,,2,Leon Powe,,,foul,made,,,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,11:02,BOS,free throw,,,,,,,2,,2,Leon Powe,,,foul,made,,,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,10:41,WAS,shot,,,,,,,,,,JaVale McGee,,,,missed,,jump,22,18
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,10:40,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,10:32,BOS,shot,,,Dominic McGuire,,,,,,,Stephon Marbury,,,,missed,,layup,24,6
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,10:31,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,off,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,10:30,BOS,shot,,,,,,,,,,Leon Powe,2,,,made,,putback layup,24,6
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,10:13,WAS,shot,Javaris Crittenton,,,,,,,,,Darius Songaila,2,,,made,,jump,13,10
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,9:49,BOS,turnover,,,,,,,,,,Kendrick Perkins,,,3 second violation,,,,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,9:36,WAS,shot,,,,,,,,,,Javaris Crittenton,,,,missed,,jump,21,6
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,9:35,BOS,rebound,,,,,,,,,,Leon Powe,,,,,,def,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,9:19,BOS,shot,,,,,,,,,,Tony Allen,,,,missed,,3pt,48,5
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,9:18,WAS,rebound,,,,,,,,,,Darius Songaila,,,,,,def,,
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,9:07,WAS,shot,,,,,,,,,,Caron Butler,2,,,made,,fade away jumper,46,6
Caron Butler,Darius Songaila,Dominic McGuire,JaVale McGee,Javaris Crittenton,Kendrick Perkins,Leon Powe,Rajon Rondo,Stephon Marbury,Tony Allen,1,8:48,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,jump,22,9
